# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1538.24,1033.36,2.0,0.0,-16.3244,-15.33619,-13.52385,5.925848,-15.33618,-47.11621,-11.78003,8.0
2,1539.7,1034.72,2.0,2.0,-17.2355,-16.40607,-15.60814,6.768719,-16.40607,-48.02731,-11.62124,8.0
3,1541.28,1035.95,2.0,4.0,-23.9992,-21.74276,-21.43776,1.666643,-21.74276,-54.79101,-13.04825,8.0
4,1542.95,1037.05,2.0,6.0,-21.7802,-20.1102,-16.72978,3.288931,-20.11019,-52.57201,-12.46182,8.0
5,1544.66,1038.08,2.0,8.0,-15.8585,-15.56479,-13.91236,11.55093,-15.56478,-46.65031,-11.08553,8.0
6,1546.38,1039.1,2.0,10.0,-19.5021,-16.69135,-20.83856,0.4086998,-16.69134,-50.29391,-13.60257,11.0
7,1548.08,1040.16,2.0,12.0,-25.1114,-23.66449,-21.40135,4.029885,-23.66448,-55.90321,-12.23873,8.0
8,1549.71,1041.32,2.0,14.0,-20.007,-18.12957,-21.76443,2.66973,-18.12957,-50.79881,-12.66924,8.0
9,1551.24,1042.61,2.0,16.0,-21.3199,-21.07089,-20.90502,12.29058,-21.07089,-52.11171,-11.04082,8.0
10,1552.64,1044.03,2.0,18.0,-20.0608,-19.4822,-20.13763,8.461517,-19.4822,-50.85261,-11.37042,8.0
11,1553.92,1045.57,2.0,20.0,-23.5617,-21.43336,-19.27107,1.989878,-21.43336,-54.35351,-12.92016,8.0
12,1555.07,1047.2,2.0,22.0,-27.3483,-23.82222,-23.3264,-0.9767694,-23.82221,-58.14011,-14.3179,8.0
13,1556.1,1048.91,2.0,24.0,-18.1611,-17.56838,-16.99269,8.349587,-17.56838,-48.95291,-11.38454,8.0
14,1557.03,1050.68,2.0,26.0,-21.7295,-21.11523,-18.67932,8.183512,-21.11523,-52.52131,-11.40608,8.0
15,1557.88,1052.5,2.0,28.0,-19.9507,-19.29352,-17.82195,7.86827,-19.29352,-50.74251,-11.44899,8.0
16,1558.65,1054.34,2.0,30.0,-20.4354,-20.11787,-18.96899,11.20015,-20.11786,-51.22721,-11.10935,8.0
17,1559.36,1056.21,2.0,32.0,-23.4627,-21.66488,-20.87775,2.900493,-21.66488,-54.25451,-12.58964,8.0
18,1560.04,1058.09,2.0,34.0,-20.2135,-19.54664,-17.571,7.799797,-19.54664,-51.00531,-11.45867,8.0
19,1560.69,1059.98,2.0,36.0,-15.6684,-15.40561,-13.53391,12.04973,-15.40561,-46.46021,-11.0546,8.0
