# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1362.82,1184.55,2.0,0.0,-6.58663,-4.997705,-2.168339,3.54815,-4.997704,-37.37844,-12.38074,11.0
2,1361.37,1185.94,2.0,2.0,-6.29528,-4.744852,-6.340339,3.675072,-4.744851,-37.08709,-12.34224,11.0
3,1359.93,1187.32,2.0,4.0,-5.87466,-4.370587,-3.849362,3.831437,-4.370587,-36.66647,-12.29589,11.0
4,1358.48,1188.69,2.0,6.0,-6.15257,-4.352988,-3.515051,2.895308,-4.352987,-36.94438,-12.5914,11.0
5,1357.04,1190.07,2.0,8.0,-5.89062,-4.043328,-8.753104,2.756152,-4.043328,-36.68243,-12.6391,11.0
6,1355.59,1191.45,2.0,10.0,-5.78413,-3.893303,-2.003977,2.631663,-3.893303,-36.57594,-12.68264,11.0
7,1354.14,1192.83,2.0,12.0,-6.3291,-4.04802,-20.581,1.606091,-4.048021,-37.12091,-13.07289,11.0
8,1352.69,1194.2,2.0,14.0,-5.80328,-3.514265,-1.211203,1.586697,-3.514265,-36.59509,-13.08083,11.0
9,1351.24,1195.58,2.0,16.0,-6.43616,-3.546096,-8.18979,0.2438956,-3.546095,-37.22797,-13.68188,11.0
10,1349.79,1196.95,2.0,18.0,-5.876961,-3.276775,-0.06625187,0.863034,-3.276775,-36.66877,-13.392,11.0
11,1348.34,1198.33,2.0,20.0,-6.79527,-3.676676,-7.759846,-0.2139551,-3.676676,-37.58708,-13.91041,11.0
12,1346.89,1199.7,2.0,22.0,-6.605339,-3.527413,-1.145482,-0.1342158,-3.527413,-37.39715,-13.86974,11.0
13,1345.44,1201.07,2.0,24.0,-6.555929,-3.683646,-5.104741,0.280564,-3.683646,-37.34774,-13.6641,8.0
14,1343.98,1202.44,2.0,26.0,-6.25411,-3.761681,-2.76576,1.105962,-3.761681,-37.04592,-13.28424,8.0
15,1342.53,1203.81,2.0,28.0,-5.897541,-3.784396,-5.049278,2.029221,-3.784396,-36.68935,-12.90496,8.0
16,1341.07,1205.18,2.0,30.0,-6.033151,-4.198206,-3.76381,2.791882,-4.198205,-36.82496,-12.62676,8.0
17,1339.62,1206.55,2.0,32.0,-6.410961,-4.462553,-5.216164,2.470479,-4.462553,-37.20277,-12.74022,8.0
18,1338.17,1207.92,2.0,34.0,-6.437111,-4.573024,-4.662564,2.707852,-4.573024,-37.22892,-12.6559,8.0
19,1336.71,1209.29,2.0,36.0,-6.177471,-4.677624,-5.82816,3.84589,-4.677624,-36.96928,-12.29166,8.0
20,1335.25,1210.66,2.0,38.0,-6.89615,-5.415324,-4.911478,3.91137,-5.415323,-37.68796,-12.27264,8.0
21,1333.8,1212.02,2.0,40.0,-6.703761,-5.516747,-7.011465,5.026268,-5.516746,-37.49557,-11.97883,8.0
22,1332.34,1213.39,2.0,42.0,-6.984961,-5.885814,-5.546793,5.406129,-5.885814,-37.77677,-11.89096,8.0
23,1330.88,1214.76,2.0,44.0,-7.733631,-6.642263,-8.945278,5.441024,-6.642263,-38.52544,-11.88318,8.0
24,1329.42,1216.12,2.0,46.0,-8.009119,-7.008596,-5.089989,5.865708,-7.008595,-38.80093,-11.79234,8.0
25,1327.96,1217.49,2.0,48.0,-8.531151,-7.376869,-16.15658,5.164809,-7.376869,-39.32296,-11.94609,8.0
26,1326.5,1218.85,2.0,50.0,-8.43482,-7.217778,-3.026134,4.902063,-7.217777,-39.22663,-12.00886,8.0
27,1325.05,1220.22,2.0,52.0,-8.84259,-7.359393,-17.71918,3.903172,-7.359393,-39.6344,-12.27501,8.0
28,1323.59,1221.58,2.0,54.0,-9.344029,-7.321909,-4.795625,2.269554,-7.321909,-40.13584,-12.81393,8.0
29,1322.13,1222.94,2.0,56.0,-10.4843,-8.037793,-6.733584,1.211853,-8.037793,-41.27611,-13.23832,8.0
30,1320.66,1224.3,2.0,58.0,-11.5087,-8.067566,-10.97295,-0.822757,-8.067565,-42.30051,-14.23295,8.0
31,1319.2,1225.67,2.0,60.0,-10.4982,-7.568698,-3.747294,0.1631286,-7.568699,-41.29001,-13.72131,11.0
32,1317.74,1227.03,2.0,62.0,-8.787761,-6.911145,-19.59011,2.672045,-6.911145,-39.57957,-12.66843,11.0
33,1316.28,1228.39,2.0,64.0,-8.406339,-7.083821,-6.13009,4.4858,-7.083821,-39.19815,-12.11433,11.0
34,1314.81,1229.75,2.0,66.0,-7.508049,-6.295554,-13.12307,4.920702,-6.295554,-38.29986,-12.00431,11.0
