# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1678.54,1480.56,2.0,0.0,-21.6831,-21.14575,-19.77008,8.803747,-21.14574,-52.47491,-11.32917,11.0
2,1676.55,1480.37,2.0,2.0,-19.862,-19.22887,-19.19752,8.042476,-19.22886,-50.65381,-11.42495,11.0
3,1674.55,1480.34,2.0,4.0,-20.7734,-19.96413,-17.5403,6.88598,-19.96413,-51.56521,-11.60108,11.0
4,1672.55,1480.4,2.0,6.0,-20.4996,-19.90068,-18.52933,8.301216,-19.90068,-51.29141,-11.39074,11.0
5,1670.55,1480.47,2.0,8.0,-22.3793,-22.23789,-21.98694,14.80199,-22.23788,-53.17111,-10.93323,11.0
6,1668.55,1480.51,2.0,10.0,-21.3469,-19.09363,-15.41165,1.674469,-19.09363,-52.13872,-13.04508,11.0
7,1666.55,1480.45,2.0,12.0,-21.3164,-20.64479,-18.59956,7.766522,-20.64479,-52.10821,-11.46343,11.0
8,1664.57,1480.2,2.0,14.0,-21.2617,-20.04311,-29.3002,4.895717,-20.04311,-52.05351,-12.01041,11.0
9,1662.65,1479.64,2.0,16.0,-18.7602,-15.28998,-22.49372,-0.8757738,-15.28997,-49.55201,-14.26204,8.0
10,1660.93,1478.64,2.0,18.0,-19.7386,-16.80192,-15.81571,0.1485123,-16.80192,-50.53041,-13.72849,11.0
11,1659.58,1477.18,2.0,20.0,-20.0065,-17.81405,-13.85268,1.826302,-17.81405,-50.79831,-12.98426,8.0
12,1661.13,1477.6,2.0,22.0,-20.8821,-17.21074,-15.91548,-1.234673,-17.21074,-51.67391,-14.46318,11.0
13,1662.95,1478.42,2.0,24.0,-19.6788,-16.12475,-16.44985,-1.026941,-16.12475,-50.47062,-14.34587,11.0
14,1664.89,1478.86,2.0,26.0,-19.8934,-16.70368,-25.60295,-0.3517187,-16.70368,-50.68521,-13.98153,11.0
15,1666.47,1477.88,2.0,28.0,-19.65,-17.75092,-34.53826,2.608325,-17.75092,-50.44181,-12.69089,8.0
16,1666.58,1475.91,2.0,30.0,-20.1055,-17.69436,-18.00511,1.294421,-17.69436,-50.89731,-13.20295,11.0
17,1666.16,1473.95,2.0,32.0,-19.9629,-17.55729,-24.07083,1.307405,-17.55729,-50.75471,-13.19742,8.0
18,1665.54,1472.05,2.0,34.0,-24.1847,-21.35499,-23.05069,0.3690046,-21.35498,-54.97651,-13.62153,8.0
19,1664.8,1470.19,2.0,36.0,-28.6823,-24.82417,-21.73354,-1.556878,-24.82417,-59.47411,-14.64995,19.0
20,1664.0,1468.36,2.0,38.0,-24.6023,-20.9131,-20.47358,-1.265878,-20.9131,-55.39411,-14.48101,19.0
21,1663.15,1466.55,2.0,40.0,-25.5092,-23.40358,-43.02221,2.048761,-23.40357,-56.30101,-12.89744,20.0
22,1662.27,1464.76,2.0,42.0,-23.4893,-21.95147,-19.43963,3.717163,-21.95146,-54.28111,-12.32965,19.0
23,1661.35,1462.98,2.0,44.0,-22.9133,-21.61048,-27.865,4.561322,-21.61048,-53.70511,-12.09463,19.0
24,1660.41,1461.21,2.0,46.0,-21.5259,-20.86201,-20.76448,7.820709,-20.86201,-52.31771,-11.4557,19.0
25,1659.46,1459.46,2.0,48.0,-24.7261,-23.99417,-30.06923,7.362013,-23.99416,-55.51791,-11.52375,19.0
26,1658.48,1457.71,2.0,50.0,-21.7248,-21.43003,-20.37409,11.53466,-21.43002,-52.51661,-11.08659,19.0
27,1657.49,1455.98,2.0,52.0,-23.5401,-23.07981,-20.63688,9.515292,-23.07981,-54.33191,-11.25211,19.0
28,1656.49,1454.25,2.0,54.0,-29.3256,-28.28303,-29.7154,5.66501,-28.28301,-60.11741,-11.8344,19.0
29,1655.48,1452.52,2.0,56.0,-22.145,-21.84287,-23.00915,11.42396,-21.84287,-52.93681,-11.09394,19.0
30,1654.46,1450.8,2.0,58.0,-19.8353,-19.63431,-20.86495,13.24523,-19.63431,-50.62711,-10.9928,19.0
31,1653.43,1449.09,2.0,60.0,-22.4661,-21.95156,-19.88142,9.003815,-21.95156,-53.25791,-11.30636,19.0
32,1652.4,1447.38,2.0,62.0,-19.3513,-18.93854,-19.08672,10.01285,-18.93854,-50.14311,-11.20457,19.0
33,1651.36,1445.67,2.0,64.0,-18.2907,-17.75307,-16.30471,8.801394,-17.75307,-49.08251,-11.32945,19.0
34,1650.33,1443.96,2.0,66.0,-23.6521,-20.54091,-27.13818,-0.1994879,-20.54091,-54.44391,-13.903,8.0
35,1649.29,1442.25,2.0,68.0,-19.4114,-16.9171,-29.09861,1.101662,-16.91709,-50.20321,-13.28612,8.0
36,1648.24,1440.55,2.0,70.0,-18.3301,-15.10193,-24.28534,-0.4253333,-15.10193,-49.12191,-14.01998,11.0
37,1647.2,1438.84,2.0,72.0,-20.9948,-16.41441,-11.24648,-2.720827,-16.41441,-51.78661,-15.3722,19.0
38,1646.15,1437.14,2.0,74.0,-19.0393,-16.29975,-13.47355,0.5594925,-16.29975,-49.83111,-13.53137,11.0
39,1645.1,1435.44,2.0,76.0,-21.7198,-18.84037,-26.99829,0.2658012,-18.84037,-52.51161,-13.67124,11.0
40,1644.05,1433.74,2.0,78.0,-20.9957,-17.9923,-15.1838,0.01379447,-17.9923,-51.78752,-13.79522,11.0
41,1643.0,1432.04,2.0,80.0,-23.7659,-21.70536,-18.9672,2.167095,-21.70535,-54.55771,-12.85236,11.0
42,1641.94,1430.34,2.0,82.0,-10.0649,-9.798147,-8.966887,11.98264,-9.798147,-40.85671,-11.05857,19.0
43,1640.89,1428.64,2.0,84.0,-10.0751,-9.707254,-8.949897,10.53594,-9.707253,-40.86691,-11.15966,19.0
44,1639.83,1426.95,2.0,86.0,-11.9191,-11.39773,-14.10699,8.943094,-11.39773,-42.71091,-11.31318,19.0
45,1638.78,1425.25,2.0,88.0,-13.2939,-12.75981,-15.36687,8.831918,-12.75981,-44.08571,-11.3259,19.0
46,1637.72,1423.56,2.0,90.0,-13.1009,-12.40907,-14.376,7.627367,-12.40907,-43.89271,-11.48364,19.0
47,1636.66,1421.86,2.0,92.0,-13.3626,-12.52288,-11.31484,6.709874,-12.52288,-44.15441,-11.63153,19.0
48,1635.6,1420.17,2.0,94.0,-13.8814,-12.94244,-10.17562,6.173445,-12.94244,-44.67321,-11.73077,19.0
49,1634.54,1418.47,2.0,96.0,-13.3445,-12.5153,-10.2989,6.770059,-12.5153,-44.13631,-11.62101,19.0
50,1633.47,1416.78,2.0,98.0,-12.6903,-11.97073,-11.53801,7.442329,-11.97073,-43.48211,-11.51139,19.0
51,1632.41,1415.08,2.0,100.0,-18.2851,-16.22047,-13.78823,2.156281,-16.22047,-49.07692,-12.85644,19.0
52,1631.35,1413.39,2.0,102.0,-11.4784,-10.96453,-10.41958,9.009798,-10.96453,-42.27021,-11.30569,19.0
53,1630.28,1411.7,2.0,104.0,-7.847469,-7.610372,-5.853109,12.50949,-7.610372,-38.63928,-11.02891,19.0
54,1629.22,1410.01,2.0,106.0,-20.6,-18.02895,-14.35797,0.9279827,-18.02895,-51.39181,-13.36286,11.0
55,1628.15,1408.32,2.0,108.0,-8.722592,-8.331723,-12.08622,10.26063,-8.331723,-39.5144,-11.18268,19.0
56,1627.09,1406.63,2.0,110.0,-9.942601,-9.430108,-14.33252,9.022196,-9.430107,-40.73441,-11.30431,19.0
57,1626.02,1404.94,2.0,112.0,-14.1713,-12.99045,-10.81224,5.052116,-12.99045,-44.96311,-11.97266,19.0
58,1624.96,1403.25,2.0,114.0,-8.038359,-7.752321,-6.022825,11.6698,-7.752321,-38.83017,-11.07785,19.0
59,1623.89,1401.56,2.0,116.0,-19.4796,-18.67516,-21.54249,6.914489,-18.67516,-50.27141,-11.59625,11.0
60,1622.82,1399.87,2.0,118.0,-7.683389,-7.352047,-10.3008,11.00835,-7.352047,-38.4752,-11.12315,19.0
61,1621.75,1398.18,2.0,120.0,-17.9316,-15.37599,-14.31877,0.9626194,-15.37599,-48.72341,-13.34742,19.0
62,1620.68,1396.49,2.0,122.0,-8.70595,-8.218062,-10.71541,9.248418,-8.218062,-39.49776,-11.2797,19.0
63,1619.61,1394.8,2.0,124.0,-14.4882,-12.99067,-12.50145,3.853813,-12.99067,-45.28001,-12.28935,19.0
64,1618.54,1393.11,2.0,126.0,-9.193129,-8.729882,-8.943014,9.486029,-8.729882,-39.98494,-11.25506,19.0
65,1617.47,1391.43,2.0,128.0,-15.6203,-12.84956,-18.84663,0.4931077,-12.84956,-46.41211,-13.56255,19.0
66,1616.4,1389.74,2.0,130.0,-8.39494,-7.988856,-11.43705,10.08706,-7.988856,-39.18675,-11.1979,19.0
67,1615.33,1388.05,2.0,132.0,-17.7237,-16.48687,-14.36617,4.82165,-16.48687,-48.51551,-12.02865,11.0
68,1614.26,1386.36,2.0,134.0,-8.069539,-7.610836,-11.26877,9.53116,-7.610836,-38.86135,-11.25052,19.0
69,1613.19,1384.68,2.0,136.0,-13.1724,-11.83169,-10.36851,4.416887,-11.83169,-43.96421,-12.13253,19.0
70,1612.11,1382.99,2.0,138.0,-13.9478,-12.29023,-17.96177,3.328001,-12.29023,-44.73961,-12.44939,19.0
71,1611.04,1381.3,2.0,140.0,-8.308239,-7.639766,-8.768085,7.788483,-7.639767,-39.10005,-11.46028,19.0
72,1609.97,1379.62,2.0,142.0,-14.0404,-11.81938,-16.34475,1.754591,-11.81938,-44.83221,-13.01283,19.0
73,1608.89,1377.93,2.0,144.0,-14.4484,-12.32098,-9.916154,1.992257,-12.32098,-45.24021,-12.91924,19.0
74,1607.82,1376.25,2.0,146.0,-7.974269,-7.278888,-9.492473,7.603284,-7.278888,-38.76608,-11.48719,19.0
75,1606.75,1374.56,2.0,148.0,-10.332,-9.355337,-14.27303,5.982927,-9.355337,-41.12381,-11.76847,19.0
76,1605.67,1372.88,2.0,150.0,-16.9952,-14.72038,-22.80241,1.621431,-14.72038,-47.78701,-13.06663,11.0
77,1604.6,1371.19,2.0,152.0,-15.4688,-13.60288,-15.36966,2.702605,-13.60288,-46.26061,-12.65773,11.0
78,1603.52,1369.51,2.0,154.0,-12.4759,-10.16578,-12.59002,1.535356,-10.16578,-43.26771,-13.10193,19.0
79,1602.45,1367.82,2.0,156.0,-10.8051,-9.470015,-13.61893,4.438117,-9.470015,-41.59691,-12.1269,19.0
80,1601.37,1366.14,2.0,158.0,-14.0631,-12.3224,-11.73788,3.071217,-12.3224,-44.85491,-12.53251,19.0
81,1600.3,1364.45,2.0,160.0,-12.282,-10.44347,-8.04327,2.781477,-10.44347,-43.07381,-12.63035,19.0
82,1599.22,1362.77,2.0,162.0,-13.5938,-11.07242,-9.445009,1.039951,-11.07242,-44.38561,-13.31319,19.0
83,1598.15,1361.09,2.0,164.0,-11.8335,-10.46394,-11.87403,4.309272,-10.46394,-42.62531,-12.16137,19.0
84,1597.07,1359.4,2.0,166.0,-11.9472,-10.93684,-16.53362,5.818141,-10.93684,-42.73901,-11.80217,19.0
