# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1362.82,1184.55,2.0,0.0,-30.5866,-28.99768,-26.16832,3.54811,-28.99766,-61.37841,-12.38075,11.0
2,1361.37,1185.94,2.0,2.0,-30.2953,-28.74487,-30.34036,3.674985,-28.74484,-61.08711,-12.34227,11.0
3,1359.93,1187.32,2.0,4.0,-29.8747,-28.37063,-27.8494,3.831379,-28.37061,-60.66651,-12.2959,11.0
4,1358.48,1188.69,2.0,6.0,-30.1526,-28.35299,-27.51506,2.895188,-28.35297,-60.94441,-12.59144,11.0
5,1357.04,1190.07,2.0,8.0,-29.8906,-28.04331,-32.75308,2.756103,-28.04329,-60.68241,-12.63912,11.0
6,1355.59,1191.45,2.0,10.0,-29.7841,-27.89328,-26.00395,2.63164,-27.89326,-60.57591,-12.68265,11.0
7,1354.14,1192.83,2.0,12.0,-30.3291,-28.04802,-44.58098,1.606062,-28.04801,-61.12091,-13.0729,11.0
8,1352.69,1194.2,2.0,14.0,-29.8033,-27.51426,-25.21119,1.586599,-27.51425,-60.59511,-13.08087,11.0
9,1351.24,1195.58,2.0,16.0,-30.4362,-27.54614,-32.18981,0.2438653,-27.54612,-61.22801,-13.68189,11.0
10,1349.79,1196.95,2.0,18.0,-29.877,-27.2768,-24.06627,0.8629637,-27.27678,-60.66881,-13.39203,11.0
11,1348.34,1198.33,2.0,20.0,-30.7953,-27.67668,-31.75984,-0.2140329,-27.67666,-61.58711,-13.91045,11.0
12,1346.89,1199.7,2.0,22.0,-30.6053,-27.52739,-25.14546,-0.1342194,-27.52737,-61.39711,-13.86974,11.0
13,1345.44,1201.07,2.0,24.0,-30.5559,-27.68363,-29.10473,0.2805507,-27.68361,-61.34771,-13.6641,8.0
14,1343.98,1202.44,2.0,26.0,-30.2541,-27.76169,-26.76577,1.10597,-27.76168,-61.04591,-13.28424,8.0
15,1342.53,1203.81,2.0,28.0,-29.8975,-27.78436,-29.04924,2.029199,-27.78435,-60.68931,-12.90497,8.0
16,1341.07,1205.18,2.0,30.0,-30.0332,-28.19823,-27.76383,2.791759,-28.19821,-60.82501,-12.6268,8.0
17,1339.62,1206.55,2.0,32.0,-30.411,-28.46258,-29.2162,2.470396,-28.46256,-61.20281,-12.74025,8.0
18,1338.17,1207.92,2.0,34.0,-30.4371,-28.57302,-28.66256,2.707824,-28.573,-61.22891,-12.65591,8.0
19,1336.71,1209.29,2.0,36.0,-30.1775,-28.67764,-29.82818,3.845794,-28.67762,-60.96931,-12.29169,8.0
20,1335.25,1210.66,2.0,38.0,-30.8961,-29.41529,-28.91144,3.91134,-29.41527,-61.68791,-12.27265,8.0
21,1333.8,1212.02,2.0,40.0,-30.7038,-29.51678,-31.0115,5.026122,-29.51675,-61.49561,-11.97886,8.0
22,1332.34,1213.39,2.0,42.0,-30.985,-29.88585,-29.54683,5.405969,-29.88582,-61.77681,-11.89099,8.0
23,1330.88,1214.76,2.0,44.0,-31.7336,-30.64224,-32.94525,5.440915,-30.64221,-62.52541,-11.88321,8.0
24,1329.42,1216.12,2.0,46.0,-32.0091,-31.00858,-29.08998,5.865559,-31.00855,-62.80091,-11.79237,8.0
25,1327.96,1217.49,2.0,48.0,-32.5312,-31.37691,-40.15667,5.164599,-31.37687,-63.32301,-11.94614,8.0
26,1326.5,1218.85,2.0,50.0,-32.4348,-31.21776,-27.02612,4.901936,-31.21772,-63.22661,-12.00889,8.0
27,1325.05,1220.22,2.0,52.0,-32.8426,-31.3594,-41.71919,3.90303,-31.35937,-63.63442,-12.27505,8.0
28,1323.59,1221.58,2.0,54.0,-33.344,-31.32189,-28.79561,2.26948,-31.32186,-64.13581,-12.81396,8.0
29,1322.13,1222.94,2.0,56.0,-34.4843,-32.03779,-30.73358,1.211748,-32.03775,-65.27611,-13.23836,8.0
30,1320.66,1224.3,2.0,58.0,-35.5087,-32.06757,-34.97296,-0.8228372,-32.06752,-66.30051,-14.23299,8.0
31,1319.2,1225.67,2.0,60.0,-34.4982,-31.5687,-27.7473,0.1630494,-31.56866,-65.29001,-13.72135,11.0
32,1317.74,1227.03,2.0,62.0,-32.7878,-30.91117,-43.59024,2.67191,-30.91114,-63.57961,-12.66848,11.0
33,1316.28,1228.39,2.0,64.0,-32.4063,-31.08379,-30.13006,4.485705,-31.08376,-63.19811,-12.11436,11.0
34,1314.81,1229.75,2.0,66.0,-31.508,-30.29552,-37.12297,4.920633,-30.29549,-62.29981,-12.00432,11.0
35,1313.35,1231.12,2.0,68.0,-30.6225,-29.59505,-31.9621,5.736247,-29.59502,-61.41431,-11.81929,11.0
36,1311.89,1232.48,2.0,70.0,-30.3323,-29.59936,-33.53251,7.355407,-29.59934,-61.12411,-11.52477,11.0
37,1310.42,1233.84,2.0,72.0,-29.9202,-27.92806,-36.60712,2.350518,-27.92804,-60.71201,-12.78397,11.0
38,1308.96,1235.2,2.0,74.0,-29.4853,-27.77077,-27.81175,3.150915,-27.77076,-60.27711,-12.50636,11.0
39,1307.5,1236.56,2.0,76.0,-29.192,-27.1577,-32.30406,2.236862,-27.15768,-59.98381,-12.82613,11.0
40,1306.03,1237.92,2.0,78.0,-28.3441,-26.80669,-22.37518,3.718529,-26.80667,-59.13591,-12.32924,11.0
41,1304.57,1239.28,2.0,80.0,-28.2838,-25.96477,-23.26615,1.51376,-25.96476,-59.07561,-13.11085,11.0
42,1303.1,1240.64,2.0,82.0,-28.0145,-25.92347,-28.10202,2.086838,-25.92346,-58.80631,-12.88285,11.0
43,1301.64,1242.0,2.0,84.0,-27.3975,-25.02896,-27.85406,1.395058,-25.02895,-58.18931,-13.16036,11.0
44,1300.17,1243.35,2.0,86.0,-24.7822,-23.18884,-25.60656,3.533677,-23.18884,-55.57401,-12.38518,11.0
45,1298.71,1244.71,2.0,88.0,-30.4713,-26.53773,-31.66783,-1.684289,-26.53771,-61.26311,-14.7254,8.0
46,1297.24,1246.07,2.0,90.0,-24.7222,-22.86697,-23.40873,2.733252,-22.86696,-55.51401,-12.64705,11.0
47,1295.78,1247.43,2.0,92.0,-25.756,-22.92934,-21.59303,0.3753682,-22.92933,-56.54781,-13.61848,11.0
48,1294.31,1248.78,2.0,94.0,-30.968,-28.3952,-28.14914,0.9240313,-28.39518,-61.75981,-13.36463,8.0
49,1292.85,1250.14,2.0,96.0,-29.324,-25.05939,-24.91334,-2.226374,-25.05938,-60.11581,-15.05643,8.0
50,1291.38,1251.5,2.0,98.0,-28.3309,-25.81359,-25.41561,1.049185,-25.81358,-59.12271,-13.30913,8.0
51,1289.91,1252.86,2.0,100.0,-29.2826,-25.81601,-25.07152,-0.869188,-25.816,-60.07441,-14.25841,8.0
52,1288.45,1254.21,2.0,102.0,-30.9509,-27.90756,-31.66802,-0.06585728,-27.90755,-61.74271,-13.83517,8.0
53,1286.98,1255.57,2.0,104.0,-31.5812,-27.86167,-27.15932,-1.318771,-27.86165,-62.37301,-14.51136,8.0
54,1285.52,1256.93,2.0,106.0,-29.9838,-27.19822,-23.40969,0.4616739,-27.19821,-60.77561,-13.57741,8.0
55,1284.05,1258.28,2.0,108.0,-28.6445,-25.07642,-23.15192,-1.052029,-25.07641,-59.43631,-14.3599,8.0
