# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1538.24,1033.36,2.0,0.0,-40.3244,-39.33619,-37.52385,5.924697,-39.33595,-71.11621,-11.78026,8.0
2,1539.7,1034.72,2.0,2.0,-41.2355,-40.40607,-39.60814,6.766995,-40.40577,-72.02731,-11.62154,8.0
3,1541.28,1035.95,2.0,4.0,-47.9992,-45.74276,-45.43776,1.664117,-45.74174,-78.79101,-13.04928,8.0
4,1542.95,1037.05,2.0,6.0,-45.7802,-44.1102,-40.72978,3.286732,-44.10949,-76.57201,-12.46252,8.0
5,1544.66,1038.08,2.0,8.0,-39.8585,-39.56479,-37.91237,11.54715,-39.56454,-70.65032,-11.08577,8.0
6,1546.38,1039.1,2.0,10.0,-43.5021,-40.69135,-44.83856,0.4080282,-40.69103,-74.29391,-13.60289,11.0
7,1548.08,1040.16,2.0,12.0,-49.1114,-47.66449,-45.40135,4.024265,-47.66289,-79.90321,-12.24032,8.0
8,1549.71,1041.32,2.0,14.0,-44.007,-42.12957,-45.76442,2.668457,-42.12912,-74.79881,-12.66969,8.0
9,1551.24,1042.61,2.0,16.0,-45.3199,-45.07089,-44.90502,12.27486,-45.07001,-76.11171,-11.0417,8.0
10,1552.64,1044.03,2.0,18.0,-44.0608,-43.4822,-44.13762,8.456644,-43.48159,-74.85261,-11.37102,8.0
11,1553.92,1045.57,2.0,20.0,-47.5617,-45.43336,-43.27106,1.987418,-45.4324,-78.35351,-12.92111,8.0
12,1555.07,1047.2,2.0,22.0,-51.3483,-47.82222,-47.3264,-0.9797463,-47.82056,-82.14012,-14.31956,8.0
13,1556.1,1048.91,2.0,24.0,-42.1611,-41.56838,-40.99269,8.346519,-41.56798,-72.95291,-11.38493,8.0
14,1557.03,1050.68,2.0,26.0,-45.7295,-45.11523,-42.67933,8.176798,-45.11435,-76.52131,-11.40697,8.0
15,1557.88,1052.5,2.0,28.0,-43.9507,-43.29352,-41.82196,7.864127,-43.29294,-74.74251,-11.44957,8.0
16,1558.65,1054.34,2.0,30.0,-44.4354,-44.11786,-42.96899,11.19018,-44.11715,-75.22721,-11.11005,8.0
17,1559.36,1056.21,2.0,32.0,-47.4627,-45.66488,-44.87775,2.897526,-45.66387,-78.25451,-12.59064,8.0
18,1560.04,1058.09,2.0,34.0,-44.2135,-43.54664,-41.571,7.795456,-43.54602,-75.00531,-11.45929,8.0
19,1560.69,1059.98,2.0,36.0,-39.6684,-39.40561,-37.5339,12.04568,-39.40537,-70.46021,-11.05484,8.0
20,1561.32,1061.88,2.0,38.0,-43.6774,-42.94539,-44.01237,7.358098,-42.94485,-74.46921,-11.52436,8.0
21,1561.92,1063.78,2.0,40.0,-42.1746,-41.45205,-44.20041,7.420375,-41.45166,-72.96641,-11.51475,8.0
22,1562.52,1065.7,2.0,42.0,-42.1931,-41.6658,-44.54943,8.887468,-41.6654,-72.98491,-11.31951,8.0
23,1563.09,1067.61,2.0,44.0,-43.2613,-42.0014,-46.02593,4.727577,-42.00096,-74.05311,-12.05215,8.0
24,1563.65,1069.53,2.0,46.0,-42.6807,-41.81752,-41.6977,6.575822,-41.81711,-73.47251,-11.6554,8.0
25,1564.2,1071.45,2.0,48.0,-46.518,-44.70646,-41.25483,2.857784,-44.70565,-77.30981,-12.60416,8.0
26,1564.74,1073.38,2.0,50.0,-50.3108,-49.38377,-52.25815,6.222771,-49.38139,-81.10261,-11.72122,11.0
27,1565.27,1075.31,2.0,52.0,-47.6185,-46.95979,-44.67657,7.847707,-46.95843,-78.41031,-11.45189,11.0
28,1565.78,1077.24,2.0,54.0,-51.3396,-47.91162,-45.03594,-0.8017909,-47.90992,-82.13141,-14.22149,11.0
29,1566.29,1079.17,2.0,56.0,-51.311,-48.24247,-54.84235,-0.1192868,-48.24064,-82.10281,-13.86217,8.0
30,1566.79,1081.11,2.0,58.0,-52.8566,-50.7075,-54.84516,1.928249,-50.70427,-83.64841,-12.94414,11.0
31,1567.28,1083.05,2.0,60.0,-53.273,-51.20542,-66.54143,2.138959,-51.20181,-84.06481,-12.86301,11.0
32,1567.76,1084.99,2.0,62.0,-56.2752,-52.86406,-58.44417,-0.7775018,-52.85877,-87.06701,-14.20824,11.0
33,1568.23,1086.93,2.0,64.0,-56.5543,-51.44163,-46.82255,-3.518427,-51.43782,-87.34611,-15.90829,19.0
34,1568.69,1088.88,2.0,66.0,-55.9392,-52.06626,-57.39656,-1.589459,-52.06185,-86.73101,-14.66916,20.0
35,1569.15,1090.83,2.0,68.0,-57.7995,-53.88187,-57.09984,-1.668721,-53.87518,-88.59131,-14.71613,19.0
36,1569.59,1092.78,2.0,70.0,-56.747,-54.27235,-55.43233,1.129939,-54.26502,-87.53881,-13.27379,19.0
37,1570.03,1094.73,2.0,72.0,-58.2902,-56.96858,-62.89414,4.437598,-56.95497,-89.08201,-12.12704,11.0
38,1570.46,1096.68,2.0,74.0,-61.7195,-59.87692,-63.29916,2.693399,-59.85037,-92.51132,-12.66095,19.0
39,1570.88,1098.63,2.0,76.0,-58.2458,-57.18884,-56.21799,5.532136,-57.17452,-89.03761,-11.8631,19.0
40,1571.29,1100.59,2.0,78.0,-63.096,-60.78515,-65.73509,1.454736,-60.75244,-93.88781,-13.13537,19.0
41,1571.69,1102.55,2.0,80.0,-61.93871,-58.40054,-57.56457,-1.032356,-58.38163,-92.73052,-14.34889,8.0
42,1572.07,1104.51,2.0,82.0,-62.4758,-60.36187,-60.9687,1.950595,-60.33219,-93.26761,-12.93542,19.0
43,1572.45,1106.47,2.0,84.0,-60.3513,-58.1452,-54.89566,1.747308,-58.12736,-91.14311,-13.01575,8.0
44,1572.82,1108.44,2.0,86.0,-58.7687,-58.59258,-57.7368,13.35924,-58.5728,-89.56051,-10.98771,19.0
45,1573.18,1110.41,2.0,88.0,-62.1482,-60.09704,-60.3972,2.11816,-60.0691,-92.94001,-12.87091,19.0
46,1573.52,1112.38,2.0,90.0,-62.8039,-59.09698,-62.17613,-1.335381,-59.07478,-93.59571,-14.52093,19.0
47,1573.84,1114.35,2.0,92.0,-59.31869,-57.77825,-53.74843,3.653742,-57.76185,-90.11051,-12.34866,8.0
48,1574.15,1116.33,2.0,94.0,-67.5454,-63.3475,-59.08861,-2.213761,-63.28867,-98.33722,-15.04854,11.0
49,1574.44,1118.31,2.0,96.0,-68.6729,-65.49995,-63.33994,-0.5030416,-65.40379,-99.46471,-14.06091,8.0
50,1574.71,1120.29,2.0,98.0,-72.57689,-70.23225,-65.28087,0.8092301,-69.95239,-103.3687,-13.41632,8.0
51,1574.96,1122.27,2.0,100.0,-63.1599,-60.5066,-57.66508,0.6791499,-60.47591,-93.95172,-13.4758,8.0
52,1575.17,1124.26,2.0,102.0,-60.2122,-59.4833,-59.92251,7.226966,-59.45904,-91.00401,-11.54497,19.0
53,1575.35,1126.25,2.0,104.0,-60.3718,-59.42169,-57.9397,5.996026,-59.39777,-91.16361,-11.76584,8.0
54,1575.5,1128.25,2.0,106.0,-65.35311,-62.86194,-63.90377,0.9891845,-62.8093,-96.14492,-13.33562,11.0
55,1575.63,1130.24,2.0,108.0,-61.1493,-59.36064,-56.45067,2.85807,-59.33705,-91.94111,-12.60406,8.0
56,1575.75,1132.24,2.0,110.0,-61.7645,-58.52154,-61.63111,-0.4903891,-58.50208,-92.55631,-14.05423,8.0
57,1575.83,1134.24,2.0,112.0,-60.6614,-59.419,-55.92473,4.703939,-59.3951,-91.45321,-12.05811,8.0
58,1575.87,1136.24,2.0,114.0,-59.6114,-57.90942,-59.52387,3.137663,-57.89252,-90.40321,-12.51069,8.0
59,1575.88,1138.24,2.0,116.0,-61.1908,-56.90241,-56.26421,-2.28567,-56.889,-91.98261,-15.09361,11.0
60,1575.84,1140.23,2.0,118.0,-61.8904,-59.44397,-55.29919,1.156403,-59.41993,-92.68221,-13.26229,11.0
61,1575.74,1142.23,2.0,120.0,-60.3825,-59.57909,-61.81941,6.775756,-59.55429,-91.17431,-11.62002,8.0
62,1575.57,1144.22,2.0,122.0,-58.3508,-56.99228,-58.48391,4.299482,-56.97859,-89.14261,-12.16402,8.0
63,1575.33,1146.21,2.0,124.0,-63.0896,-59.8176,-65.27368,-0.5578837,-59.79141,-93.88141,-14.09001,8.0
64,1575.0,1148.18,2.0,126.0,-62.7446,-60.04542,-64.11757,0.5868451,-60.01782,-93.53641,-13.5186,8.0
65,1574.58,1150.14,2.0,128.0,-62.3111,-59.71856,-63.22577,0.8232694,-59.69295,-93.10291,-13.40996,8.0
66,1574.07,1152.07,2.0,130.0,-65.5022,-61.84279,-65.24654,-1.28664,-61.8011,-96.29401,-14.4929,19.0
67,1573.45,1153.97,2.0,132.0,-52.5698,-51.9345,-51.76418,7.995182,-51.93022,-83.36161,-11.43139,20.0
68,1572.74,1155.84,2.0,134.0,-52.2687,-51.72905,-51.51273,8.749328,-51.72497,-83.06051,-11.33554,20.0
69,1571.93,1157.67,2.0,136.0,-52.1237,-51.99605,-53.87147,15.1065,-51.99172,-82.91551,-10.9238,20.0
70,1571.04,1159.46,2.0,138.0,-51.403,-51.13176,-51.8549,11.84969,-51.12821,-82.19481,-11.0666,20.0
71,1570.07,1161.21,2.0,140.0,-51.4507,-50.40807,-54.25437,5.650725,-50.40506,-82.24251,-11.83745,20.0
72,1569.03,1162.92,2.0,142.0,-52.8152,-52.60239,-52.32321,12.88806,-52.59741,-83.60701,-11.0096,20.0
73,1567.94,1164.59,2.0,144.0,-52.53571,-51.99596,-50.40072,8.746346,-51.99163,-83.32752,-11.33589,20.0
74,1566.74,1166.19,2.0,146.0,-51.56219,-50.33646,-48.85577,4.854592,-50.3335,-82.35401,-12.0205,20.0
75,1565.42,1167.7,2.0,148.0,-49.7719,-49.34567,-52.67706,9.841356,-49.34331,-80.56371,-11.2204,20.0
76,1564.02,1169.12,2.0,150.0,-51.5231,-50.39676,-52.42819,5.272694,-50.39376,-82.31492,-11.92115,20.0
77,1562.55,1170.47,2.0,152.0,-48.6906,-46.81361,-57.00707,2.667218,-46.81229,-79.48241,-12.67012,11.0
78,1561.02,1171.77,2.0,154.0,-50.5051,-46.36337,-42.85355,-2.030124,-46.36218,-81.29692,-14.93473,11.0
79,1559.46,1173.02,2.0,156.0,-46.0465,-44.28993,-48.95734,3.021128,-44.28919,-76.83831,-12.54912,11.0
80,1557.87,1174.23,2.0,158.0,-50.1281,-46.19232,-43.93837,-1.689883,-46.19118,-80.91991,-14.72873,11.0
81,1556.25,1175.41,2.0,160.0,-48.9468,-45.26322,-42.15035,-1.257673,-45.2623,-79.73861,-14.47632,11.0
82,1554.62,1176.55,2.0,162.0,-47.8064,-44.64006,-49.43161,-0.3082186,-44.63926,-78.59821,-13.95896,8.0
83,1552.96,1177.68,2.0,164.0,-48.0268,-44.58165,-42.30694,-0.8315359,-44.58086,-78.81861,-14.23775,8.0
84,1551.3,1178.78,2.0,166.0,-46.6807,-44.78765,-41.53733,2.623044,-44.78683,-77.47251,-12.68568,8.0
85,1549.62,1179.87,2.0,168.0,-48.2239,-45.72051,-53.42052,1.078566,-45.71949,-79.01571,-13.29623,8.0
86,1547.93,1180.94,2.0,170.0,-47.7606,-45.54263,-43.23024,1.759756,-45.54165,-78.55241,-13.01076,8.0
87,1546.24,1182.01,2.0,172.0,-50.1782,-47.31384,-46.95948,0.2938879,-47.31236,-80.97002,-13.65765,8.0
88,1544.54,1183.07,2.0,174.0,-51.2381,-48.56264,-62.60627,0.6934017,-48.56068,-82.02991,-13.46924,20.0
89,1542.85,1184.13,2.0,176.0,-51.6115,-49.39163,-58.90483,1.751506,-49.38925,-82.40331,-13.01407,20.0
90,1541.15,1185.18,2.0,178.0,-51.9438,-51.11698,-52.42302,6.763383,-51.11344,-82.73561,-11.62217,20.0
91,1539.46,1186.25,2.0,180.0,-52.4975,-50.48028,-51.28952,2.274501,-50.47722,-83.28931,-12.81209,20.0
92,1537.77,1187.32,2.0,182.0,-52.3993,-51.46789,-51.24307,6.192541,-51.46405,-83.19111,-11.72707,20.0
