# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1955.96,2045.73,2.0,0.0,-43.213,-43.18959,-43.90179,22.56668,-43.18902,-74.00481,-10.8158,12.0
2,1955.86,2043.73,2.0,2.0,-43.48,-43.46043,-43.73328,23.31782,-43.45982,-74.27181,-10.812,12.0
3,1955.76,2041.74,2.0,4.0,-44.118,-44.10155,-43.69936,24.02653,-44.10085,-74.90981,-10.80896,12.0
4,1955.66,2039.74,2.0,6.0,-48.4202,-48.38455,-47.99112,20.61483,-48.38267,-79.21201,-10.82935,12.0
5,1955.57,2037.74,2.0,8.0,-50.4785,-50.41573,-51.20048,18.16391,-50.41272,-81.27031,-10.85759,12.0
6,1955.47,2035.74,2.0,10.0,-51.7535,-51.67157,-52.62908,16.99183,-51.66754,-82.54531,-10.87777,12.0
7,1955.37,2033.75,2.0,12.0,-51.475,-51.46975,-51.60773,26.78673,-51.46591,-82.26681,-10.8009,12.0
8,1955.28,2031.75,2.0,14.0,-46.7091,-46.70713,-46.60491,31.24893,-46.70584,-77.50091,-10.79507,12.0
9,1955.18,2029.75,2.0,16.0,-56.78761,-56.77183,-57.28877,21.77169,-56.75882,-87.57942,-10.8206,12.0
10,1955.08,2027.76,2.0,18.0,-47.8005,-47.80032,-47.77839,33.76249,-47.79867,-78.59231,-10.79364,12.0
11,1954.99,2025.76,2.0,20.0,-53.23669,-53.23542,-53.27373,27.89451,-53.22965,-84.02851,-10.79886,12.0
12,1954.89,2023.76,2.0,22.0,-50.4801,-50.47823,-50.43683,29.44847,-50.47517,-81.27191,-10.79674,12.0
13,1954.8,2021.76,2.0,24.0,-51.9096,-51.90912,-51.98369,29.6279,-51.90487,-82.70141,-10.79654,12.0
14,1954.7,2019.77,2.0,26.0,-52.3479,-52.34675,-52.27251,28.70096,-52.34205,-83.13971,-10.79767,12.0
15,1954.61,2017.77,2.0,28.0,-51.2161,-51.21501,-51.19214,29.64528,-51.21139,-82.00791,-10.79652,12.0
16,1954.51,2015.77,2.0,30.0,-54.4069,-54.40532,-54.31312,26.76985,-54.39777,-85.19871,-10.80094,12.0
17,1954.41,2013.78,2.0,32.0,-52.5355,-52.44133,-53.65981,16.37305,-52.43652,-83.32731,-10.89079,12.0
18,1954.32,2011.78,2.0,34.0,-53.3366,-53.20597,-54.54488,14.96251,-53.20024,-84.12841,-10.92818,12.0
19,1954.22,2009.78,2.0,36.0,-56.28469,-55.70913,-53.61225,8.404539,-55.69894,-87.07651,-11.37756,12.0
20,1954.13,2007.78,2.0,38.0,-55.4011,-54.90026,-54.16429,9.051024,-54.8918,-86.19291,-11.30111,12.0
21,1954.03,2005.79,2.0,40.0,-53.1358,-52.81739,-52.39146,11.11437,-52.81215,-83.92761,-11.11545,12.0
22,1953.94,2003.79,2.0,42.0,-54.5317,-54.08298,-51.88726,9.560883,-54.07597,-85.32351,-11.24755,12.0
23,1953.84,2001.79,2.0,44.0,-61.6668,-59.50301,-59.59718,1.837117,-59.47864,-92.45862,-12.97998,12.0
24,1953.74,1999.79,2.0,46.0,-53.7079,-53.39698,-51.04485,11.209,-53.39099,-84.49972,-11.10873,12.0
