# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1678.54,1480.56,2.0,0.0,-45.6831,-45.14575,-43.77008,8.796082,-45.14485,-76.47491,-11.33006,11.0
2,1676.55,1480.37,2.0,2.0,-43.862,-43.22887,-43.19752,8.038247,-43.22829,-74.65381,-11.42552,11.0
3,1674.55,1480.34,2.0,4.0,-44.7734,-43.96413,-41.54029,6.881987,-43.96345,-75.56521,-11.60176,11.0
4,1672.55,1480.4,2.0,6.0,-44.4996,-43.90068,-42.52933,8.296019,-43.9,-75.29141,-11.39141,11.0
5,1670.55,1480.47,2.0,8.0,-46.3793,-46.23789,-45.98694,14.76631,-46.23674,-77.17111,-10.93438,11.0
6,1668.55,1480.51,2.0,10.0,-45.3469,-43.09363,-39.41164,1.673099,-43.09307,-76.13871,-13.04564,11.0
7,1666.55,1480.45,2.0,12.0,-45.3164,-44.64479,-42.59957,7.760979,-44.64399,-76.10821,-11.46422,11.0
8,1664.57,1480.2,2.0,14.0,-45.2617,-44.04311,-53.30019,4.892892,-44.04241,-76.05351,-12.0111,11.0
9,1662.65,1479.64,2.0,16.0,-42.7602,-39.28998,-46.49372,-0.8761952,-39.28975,-73.55201,-14.26227,8.0
10,1660.93,1478.64,2.0,18.0,-43.7386,-40.80192,-39.81572,0.1478369,-40.80159,-74.53042,-13.72882,11.0
11,1659.58,1477.18,2.0,20.0,-44.0065,-41.81405,-37.85268,1.825257,-41.81364,-74.79831,-12.98468,8.0
12,1661.13,1477.6,2.0,22.0,-44.8821,-41.21074,-39.91548,-1.235299,-41.21037,-75.67391,-14.46354,11.0
13,1662.95,1478.42,2.0,24.0,-43.6788,-40.12475,-40.44985,-1.02744,-40.12447,-74.47061,-14.34615,11.0
14,1664.89,1478.86,2.0,26.0,-43.8934,-40.70368,-49.60295,-0.3523391,-40.70336,-74.68521,-13.98185,11.0
15,1666.47,1477.88,2.0,28.0,-43.65,-41.75092,-58.53828,2.607168,-41.75051,-74.44182,-12.6913,8.0
16,1666.58,1475.91,2.0,30.0,-44.1055,-41.69437,-42.00511,1.293475,-41.69396,-74.89731,-13.20335,11.0
17,1666.16,1473.95,2.0,32.0,-43.9629,-41.55729,-48.07083,1.306491,-41.5569,-74.75471,-13.19781,8.0
18,1665.54,1472.05,2.0,34.0,-48.1847,-45.35499,-47.05069,0.3670449,-45.35404,-78.97651,-13.62247,8.0
19,1664.8,1470.19,2.0,36.0,-52.6823,-48.82418,-45.73354,-1.560418,-48.82208,-83.47412,-14.65203,19.0
20,1664.0,1468.36,2.0,38.0,-48.6023,-44.9131,-44.47358,-1.267356,-44.91225,-79.39411,-14.48186,19.0
21,1663.15,1466.55,2.0,40.0,-49.5092,-47.40358,-67.02222,2.044852,-47.40207,-80.30101,-12.89894,20.0
22,1662.27,1464.76,2.0,42.0,-47.4893,-45.95147,-43.43963,3.71356,-45.95039,-78.28111,-12.33072,19.0
23,1661.35,1462.98,2.0,44.0,-46.9133,-45.61048,-51.865,4.557488,-45.60949,-77.70511,-12.09562,19.0
24,1660.41,1461.21,2.0,46.0,-45.5259,-44.86202,-44.76448,7.814806,-44.86118,-76.31772,-11.45654,19.0
25,1659.46,1459.46,2.0,48.0,-48.7261,-47.99417,-54.06923,7.350939,-47.99245,-79.51791,-11.52547,19.0
26,1658.48,1457.71,2.0,50.0,-45.7248,-45.43003,-44.37409,11.52017,-45.42907,-76.51661,-11.08754,19.0
27,1657.49,1455.98,2.0,52.0,-47.5401,-47.07981,-44.63688,9.501457,-47.07841,-78.33191,-11.2535,19.0
28,1656.49,1454.25,2.0,54.0,-53.3256,-52.28303,-53.71539,5.643437,-52.2784,-84.11741,-11.83901,19.0
29,1655.48,1452.52,2.0,56.0,-46.145,-45.84287,-47.00915,11.40839,-45.84182,-76.93681,-11.09499,19.0
30,1654.46,1450.8,2.0,58.0,-43.8353,-43.63431,-44.86495,13.23132,-43.63368,-74.62711,-10.99343,19.0
31,1653.43,1449.09,2.0,60.0,-46.4661,-45.95156,-43.88142,8.994215,-45.95048,-77.25791,-11.30743,19.0
32,1652.4,1447.38,2.0,62.0,-43.3513,-42.93854,-43.08672,10.00694,-42.938,-74.14311,-11.20511,19.0
33,1651.36,1445.67,2.0,64.0,-42.2907,-41.75307,-40.30471,8.797888,-41.75266,-73.08251,-11.32985,19.0
34,1650.33,1443.96,2.0,66.0,-47.6521,-44.54092,-51.13818,-0.2010055,-44.54014,-78.44391,-13.90378,8.0
35,1649.29,1442.25,2.0,68.0,-43.4114,-40.91709,-53.09862,1.100895,-40.91676,-74.20321,-13.28645,8.0
36,1648.24,1440.55,2.0,70.0,-42.3301,-39.10193,-48.28536,-0.425764,-39.10171,-73.12192,-14.02021,11.0
37,1647.2,1438.84,2.0,72.0,-44.9948,-40.41441,-35.24648,-2.721288,-40.41411,-75.78662,-15.3725,19.0
38,1646.15,1437.14,2.0,74.0,-43.0393,-40.29974,-37.47355,0.5588713,-40.29945,-73.83111,-13.53166,11.0
39,1645.1,1435.44,2.0,76.0,-45.7198,-42.84037,-50.9983,0.264722,-42.83985,-76.51161,-13.67177,11.0
40,1644.05,1433.74,2.0,78.0,-44.9957,-41.99229,-39.1838,0.0129348,-41.99186,-75.78751,-13.79565,11.0
41,1643.0,1432.04,2.0,80.0,-47.7659,-45.70536,-42.9672,2.164407,-45.70434,-78.55771,-12.85337,11.0
42,1641.94,1430.34,2.0,82.0,-34.0649,-33.79814,-32.96688,11.98155,-33.79808,-64.85671,-11.05863,19.0
