# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1955.96,2045.73,2.0,0.0,-19.213,-19.18959,-19.90178,22.67121,-19.18958,-50.00481,-10.81523,12.0
2,1955.86,2043.73,2.0,2.0,-19.48,-19.46042,-19.73328,23.4504,-19.46042,-50.27181,-10.81139,12.0
3,1955.76,2041.74,2.0,4.0,-20.118,-20.10155,-19.69936,24.20831,-20.10155,-50.90981,-10.80826,12.0
4,1955.66,2039.74,2.0,6.0,-24.4202,-24.38455,-23.99112,20.83908,-24.38455,-55.21201,-10.82747,12.0
5,1955.57,2037.74,2.0,8.0,-26.4785,-26.41573,-27.20049,18.3683,-26.41572,-57.27031,-10.85459,12.0
6,1955.47,2035.74,2.0,10.0,-27.7535,-27.67157,-28.62908,17.20124,-27.67155,-58.54531,-10.87376,12.0
7,1955.37,2033.75,2.0,12.0,-27.475,-27.46975,-27.60773,29.16109,-27.46973,-58.26681,-10.79708,12.0
8,1955.28,2031.75,2.0,14.0,-22.7091,-22.70713,-22.60491,33.41496,-22.70712,-53.50092,-10.79379,12.0
9,1955.18,2029.75,2.0,16.0,-32.7876,-32.77183,-33.28877,24.37615,-32.77177,-63.57941,-10.80764,12.0
10,1955.08,2027.76,2.0,18.0,-23.8005,-23.80033,-23.77839,43.79177,-23.80032,-54.59231,-10.79199,12.0
11,1954.99,2025.76,2.0,20.0,-29.2367,-29.23542,-29.27373,35.23298,-29.2354,-60.02851,-10.79311,12.0
12,1954.89,2023.76,2.0,22.0,-26.4801,-26.47823,-26.43683,33.63003,-26.47822,-57.27192,-10.79369,12.0
13,1954.8,2021.76,2.0,24.0,-27.9096,-27.90912,-27.98369,39.43263,-27.9091,-58.70141,-10.79231,12.0
14,1954.7,2019.77,2.0,26.0,-28.3479,-28.34675,-28.27252,35.69318,-28.34673,-59.13971,-10.79298,12.0
15,1954.61,2017.77,2.0,28.0,-27.2161,-27.21501,-27.19214,35.95892,-27.215,-58.00791,-10.79291,12.0
16,1954.51,2015.77,2.0,30.0,-30.4069,-30.40532,-30.31312,34.31544,-30.40529,-61.19871,-10.79342,12.0
17,1954.41,2013.78,2.0,32.0,-28.5355,-28.44133,-29.65981,16.59069,-28.44131,-59.32731,-10.886,12.0
18,1954.32,2011.78,2.0,34.0,-29.3366,-29.20597,-30.54489,15.15103,-29.20594,-60.12841,-10.92247,12.0
19,1954.22,2009.78,2.0,36.0,-32.2847,-31.70914,-29.61225,8.485634,-31.7091,-63.07651,-11.36742,12.0
20,1954.13,2007.78,2.0,38.0,-31.4011,-30.90027,-30.16429,9.127773,-30.90023,-62.19291,-11.29268,12.0
21,1954.03,2005.79,2.0,40.0,-29.1358,-28.8174,-28.39146,11.1876,-28.81738,-59.92761,-11.11024,12.0
22,1953.94,2003.79,2.0,42.0,-30.5317,-30.08298,-27.88726,9.631482,-30.08295,-61.32351,-11.24056,12.0
23,1953.84,2001.79,2.0,44.0,-37.6668,-35.50301,-35.59717,1.898705,-35.50291,-68.45861,-12.95571,12.0
24,1953.74,1999.79,2.0,46.0,-29.7079,-29.39697,-27.04485,11.29452,-29.39695,-60.49971,-11.10276,12.0
25,1953.64,1997.8,2.0,48.0,-40.0612,-37.64873,-42.055,1.290927,-37.64857,-70.85301,-13.20444,12.0
26,1953.55,1995.8,2.0,50.0,-28.4561,-28.32661,-28.23672,15.18985,-28.32659,-59.24791,-10.92132,12.0
27,1953.45,1993.8,2.0,52.0,-29.5078,-29.16654,-29.32091,10.87495,-29.16652,-60.29961,-11.13309,12.0
28,1953.35,1991.81,2.0,54.0,-46.1219,-43.82215,-43.3388,1.558942,-43.82149,-76.91371,-13.09222,12.0
29,1953.25,1989.81,2.0,56.0,-33.2993,-32.79259,-30.14433,9.073886,-32.79253,-64.09112,-11.29858,12.0
30,1953.15,1987.81,2.0,58.0,-28.0928,-27.82257,-26.58457,11.92449,-27.82256,-58.88461,-11.06205,12.0
31,1953.05,1985.81,2.0,60.0,-29.0587,-29.02542,-29.48932,21.13714,-29.0254,-59.85051,-10.82511,12.0
32,1952.95,1983.82,2.0,62.0,-38.2316,-37.06698,-43.8265,5.12007,-37.06684,-69.02341,-11.95658,12.0
33,1952.85,1981.82,2.0,64.0,-31.8431,-31.76649,-31.89482,17.49457,-31.76645,-62.63491,-10.86846,12.0
34,1952.75,1979.82,2.0,66.0,-38.332,-38.0049,-40.30614,11.06405,-38.00472,-69.12381,-11.11909,12.0
35,1952.64,1977.83,2.0,68.0,-32.7799,-32.77478,-32.58143,29.23563,-32.77472,-63.57171,-10.79699,12.0
36,1952.54,1975.83,2.0,70.0,-36.2791,-36.27419,-36.33259,29.3653,-36.27407,-67.07091,-10.79684,12.0
37,1952.43,1973.83,2.0,72.0,-32.5276,-32.51817,-33.02762,26.60568,-32.51812,-63.31941,-10.80129,12.0
38,1952.32,1971.84,2.0,74.0,-28.5752,-28.56608,-28.03686,26.76286,-28.56606,-59.36701,-10.80095,12.0
39,1952.21,1969.84,2.0,76.0,-31.2887,-31.2771,-31.60995,25.71223,-31.27706,-62.08051,-10.80345,12.0
40,1952.1,1967.84,2.0,78.0,-37.39,-37.31525,-36.78951,17.59563,-37.3151,-68.18181,-10.86671,12.0
41,1951.99,1965.85,2.0,80.0,-30.5279,-30.52238,-30.7161,28.92765,-30.52235,-61.31971,-10.79737,12.0
42,1951.87,1963.85,2.0,82.0,-28.9387,-28.93467,-29.14887,30.29918,-28.93465,-59.73051,-10.79586,12.0
43,1951.75,1961.85,2.0,84.0,-28.4508,-28.44839,-28.43311,32.52728,-28.44837,-59.24261,-10.79424,12.0
44,1951.64,1959.86,2.0,86.0,-38.236,-38.22008,-37.98407,24.30071,-38.21989,-69.02781,-10.80792,12.0
45,1951.53,1957.86,2.0,88.0,-38.9465,-38.52777,-43.16423,9.945323,-38.52757,-69.73831,-11.21074,12.0
46,1951.41,1955.87,2.0,90.0,-25.0652,-25.04846,-24.67344,24.12913,-25.04845,-55.85702,-10.80856,12.0
47,1951.3,1953.87,2.0,92.0,-27.2479,-27.20752,-26.61745,20.29422,-27.2075,-58.03971,-10.83221,12.0
48,1951.18,1951.87,2.0,94.0,-27.2521,-27.21644,-27.05576,20.83601,-27.21642,-58.04391,-10.82749,12.0
49,1951.06,1949.88,2.0,96.0,-23.421,-23.40759,-23.36228,25.09282,-23.40758,-54.21281,-10.80523,12.0
50,1950.94,1947.88,2.0,98.0,-35.8841,-35.50057,-32.68512,10.34547,-35.50047,-66.67592,-11.17544,12.0
51,1950.82,1945.88,2.0,100.0,-24.6011,-24.56961,-24.66027,21.3793,-24.5696,-55.39291,-10.82331,12.0
52,1950.69,1943.89,2.0,102.0,-24.1305,-24.10667,-24.11121,22.5924,-24.10666,-54.92231,-10.81565,12.0
53,1950.56,1941.89,2.0,104.0,-29.1467,-29.03935,-31.08405,16.01517,-29.03933,-59.93851,-10.89918,12.0
54,1950.43,1939.9,2.0,106.0,-26.5767,-26.52796,-26.46457,19.47342,-26.52795,-57.36851,-10.84057,12.0
55,1950.28,1937.9,2.0,108.0,-24.0909,-24.08521,-23.99952,28.81972,-24.08521,-54.88271,-10.79751,12.0
56,1950.13,1935.91,2.0,110.0,-28.7371,-28.72041,-28.38277,24.13967,-28.72039,-59.52891,-10.80852,12.0
57,1949.97,1933.92,2.0,112.0,-23.9201,-23.91038,-24.40033,26.49234,-23.91037,-54.71191,-10.80154,12.0
58,1949.79,1931.92,2.0,114.0,-27.1082,-27.094,-27.44267,24.84319,-27.09399,-57.90001,-10.80603,12.0
59,1949.6,1929.93,2.0,116.0,-26.3331,-26.31919,-26.49694,24.93317,-26.31917,-57.12491,-10.80574,12.0
60,1949.39,1927.94,2.0,118.0,-21.7192,-21.71809,-21.74176,35.92018,-21.71809,-52.51101,-10.79292,12.0
61,1949.16,1925.96,2.0,120.0,-24.9203,-24.91886,-24.89608,34.76294,-24.91885,-55.71211,-10.79326,12.0
62,1948.91,1923.97,2.0,122.0,-21.8158,-21.81448,-21.68612,35.14093,-21.81447,-52.60761,-10.79314,12.0
63,1948.67,1921.99,2.0,124.0,-28.2763,-28.27492,-28.24432,34.91848,-28.2749,-59.06811,-10.79321,12.0
64,1948.48,1920.0,2.0,126.0,-23.1247,-23.12248,-23.08907,32.90795,-23.12248,-53.91651,-10.79404,12.0
65,1948.37,1918.0,2.0,128.0,-24.7814,-24.77787,-24.76964,30.88436,-24.77786,-55.57321,-10.79535,12.0
66,1948.32,1916.0,2.0,130.0,-26.9047,-26.90249,-26.76824,32.91502,-26.90248,-57.69651,-10.79403,12.0
67,1948.17,1914.01,2.0,132.0,-20.986,-20.98454,-20.92738,34.71789,-20.98453,-51.77781,-10.79328,12.0
