# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1538.24,1033.36,2.0,0.0,-22.3244,-21.33618,-19.52384,5.925853,-21.33618,-53.11621,-11.78003,8.0
2,1539.7,1034.72,2.0,2.0,-23.2355,-22.40607,-21.60814,6.768721,-22.40607,-54.02731,-11.62124,8.0
3,1541.28,1035.95,2.0,4.0,-29.9992,-27.74276,-27.43776,1.666657,-27.74276,-60.79101,-13.04825,8.0
4,1542.95,1037.05,2.0,6.0,-27.7802,-26.1102,-22.72978,3.288943,-26.1102,-58.57201,-12.46182,8.0
5,1544.66,1038.08,2.0,8.0,-21.8585,-21.56479,-19.91236,11.55094,-21.56479,-52.65031,-11.08552,8.0
6,1546.38,1039.1,2.0,10.0,-25.5021,-22.69135,-26.83856,0.4087023,-22.69134,-56.29391,-13.60257,11.0
7,1548.08,1040.16,2.0,12.0,-31.1114,-29.66449,-27.40136,4.029903,-29.66449,-61.90321,-12.23872,8.0
8,1549.71,1041.32,2.0,14.0,-26.007,-24.12957,-27.76442,2.669735,-24.12957,-56.79881,-12.66924,8.0
9,1551.24,1042.61,2.0,16.0,-27.3199,-27.07089,-26.90502,12.29063,-27.07089,-58.11171,-11.04082,8.0
10,1552.64,1044.03,2.0,18.0,-26.0608,-25.4822,-26.13763,8.461535,-25.4822,-56.85261,-11.37041,8.0
11,1553.92,1045.57,2.0,20.0,-29.5617,-27.43336,-25.27107,1.989887,-27.43336,-60.35351,-12.92015,8.0
12,1555.07,1047.2,2.0,22.0,-33.3483,-29.82222,-29.3264,-0.9767634,-29.82222,-64.14012,-14.3179,8.0
13,1556.1,1048.91,2.0,24.0,-24.1611,-23.56838,-22.99269,8.349598,-23.56838,-54.95291,-11.38453,8.0
14,1557.03,1050.68,2.0,26.0,-27.7295,-27.11524,-24.67933,8.183534,-27.11524,-58.52131,-11.40608,8.0
15,1557.88,1052.5,2.0,28.0,-25.9507,-25.29352,-23.82195,7.868289,-25.29352,-56.74251,-11.44899,8.0
16,1558.65,1054.34,2.0,30.0,-26.4354,-26.11786,-24.96899,11.20019,-26.11786,-57.22721,-11.10935,8.0
17,1559.36,1056.21,2.0,32.0,-29.4627,-27.66488,-26.87775,2.900504,-27.66488,-60.25451,-12.58963,8.0
18,1560.04,1058.09,2.0,34.0,-26.2135,-25.54664,-23.571,7.799812,-25.54664,-57.00531,-11.45867,8.0
19,1560.69,1059.98,2.0,36.0,-21.6684,-21.40561,-19.5339,12.04975,-21.40561,-52.46021,-11.0546,8.0
20,1561.32,1061.88,2.0,38.0,-25.6774,-24.9454,-26.01238,7.361573,-24.9454,-56.46921,-11.52382,8.0
21,1561.92,1063.78,2.0,40.0,-24.1746,-23.45205,-26.20042,7.42287,-23.45205,-54.96641,-11.51436,8.0
22,1562.52,1065.7,2.0,42.0,-24.1931,-23.6658,-26.54944,8.890983,-23.6658,-54.98491,-11.31911,8.0
23,1563.09,1067.61,2.0,44.0,-25.2613,-24.00139,-28.02593,4.729302,-24.00139,-56.05311,-12.05172,8.0
24,1563.65,1069.53,2.0,46.0,-24.6807,-23.81753,-23.6977,6.57813,-23.81753,-55.47251,-11.65499,8.0
25,1564.2,1071.45,2.0,48.0,-28.518,-26.70646,-23.25483,2.860162,-26.70646,-59.30981,-12.60335,8.0
26,1564.74,1073.38,2.0,50.0,-32.3108,-31.38377,-34.25815,6.235124,-31.38377,-63.10261,-11.71885,11.0
27,1565.27,1075.31,2.0,52.0,-29.6185,-28.95979,-26.67657,7.857358,-28.95979,-60.41031,-11.45053,11.0
28,1565.78,1077.24,2.0,54.0,-33.3396,-29.91162,-27.03594,-0.7986944,-29.91162,-64.13141,-14.21979,11.0
29,1566.29,1079.17,2.0,56.0,-33.311,-30.24247,-36.84235,-0.1156859,-30.24247,-64.10281,-13.86034,8.0
30,1566.79,1081.11,2.0,58.0,-34.8566,-32.7075,-36.84516,1.936498,-32.7075,-65.64841,-12.94091,11.0
31,1567.28,1083.05,2.0,60.0,-35.273,-33.20542,-48.54143,2.148494,-33.20542,-66.06481,-12.85939,11.0
32,1567.76,1084.99,2.0,62.0,-38.2752,-34.86407,-40.44417,-0.76778,-34.86407,-69.06701,-14.20295,11.0
33,1568.23,1086.93,2.0,64.0,-38.5543,-33.44163,-28.82254,-3.512913,-33.44163,-69.34611,-15.90448,19.0
34,1568.69,1088.88,2.0,66.0,-37.9392,-34.06626,-39.39655,-1.581998,-34.06626,-68.73101,-14.66475,20.0
35,1569.15,1090.83,2.0,68.0,-39.7995,-35.88188,-39.09984,-1.657463,-35.88187,-70.59131,-14.70944,19.0
36,1569.59,1092.78,2.0,70.0,-38.747,-36.27235,-37.43233,1.146767,-36.27234,-69.53881,-13.26647,19.0
37,1570.03,1094.73,2.0,72.0,-40.2902,-38.96859,-44.89414,4.489233,-38.96858,-71.08201,-12.11343,11.0
38,1570.46,1096.68,2.0,74.0,-43.7195,-41.87692,-45.29916,2.769734,-41.87691,-74.51131,-12.6344,19.0
39,1570.88,1098.63,2.0,76.0,-40.2458,-39.18883,-38.21799,5.59801,-39.18883,-71.03761,-11.84878,19.0
40,1571.29,1100.59,2.0,78.0,-45.096,-42.78515,-47.73508,1.533549,-42.78514,-75.88781,-13.10268,19.0
41,1571.69,1102.55,2.0,80.0,-43.9387,-40.40054,-39.56457,-0.9984739,-40.40054,-74.73052,-14.32998,8.0
42,1572.07,1104.51,2.0,82.0,-44.4758,-42.36187,-42.96871,2.027168,-42.36186,-75.26761,-12.90575,19.0
43,1572.45,1106.47,2.0,84.0,-42.3513,-40.1452,-36.89566,1.791941,-40.1452,-73.14311,-12.99792,8.0
44,1572.82,1108.44,2.0,86.0,-40.7687,-40.59257,-39.7368,13.83107,-40.59257,-71.56051,-10.96795,19.0
45,1573.18,1110.41,2.0,88.0,-44.1482,-42.09704,-42.3972,2.191931,-42.09703,-74.94001,-12.84299,19.0
46,1573.52,1112.38,2.0,90.0,-44.8039,-41.09698,-44.17613,-1.296802,-41.09698,-75.59571,-14.49874,19.0
47,1573.84,1114.35,2.0,92.0,-41.3187,-39.77825,-35.74843,3.708386,-39.77824,-72.11051,-12.33227,8.0
48,1574.15,1116.33,2.0,94.0,-49.5454,-45.3475,-41.08861,-2.119237,-45.34747,-80.33721,-14.98974,11.0
49,1574.44,1118.31,2.0,96.0,-50.6729,-47.49995,-45.33994,-0.3195094,-47.49991,-81.46472,-13.9648,8.0
50,1574.71,1120.29,2.0,98.0,-54.5769,-52.23225,-47.28087,1.451847,-52.23214,-85.36871,-13.13658,8.0
51,1574.96,1122.27,2.0,100.0,-45.1599,-42.5066,-39.66508,0.7459615,-42.50659,-75.95172,-13.44513,8.0
52,1575.17,1124.26,2.0,102.0,-42.2122,-41.4833,-41.92251,7.381578,-41.48329,-73.00401,-11.52072,19.0
53,1575.35,1126.25,2.0,104.0,-42.3718,-41.42169,-39.9397,6.116364,-41.42168,-73.16361,-11.74193,8.0
54,1575.5,1128.25,2.0,106.0,-47.3531,-44.86193,-45.90377,1.108806,-44.86191,-78.14491,-13.283,11.0
55,1575.63,1130.24,2.0,108.0,-43.1493,-41.36064,-38.45067,2.927549,-41.36063,-73.94111,-12.58048,8.0
56,1575.75,1132.24,2.0,110.0,-43.7645,-40.52154,-43.63112,-0.4535084,-40.52153,-74.55631,-14.03478,8.0
57,1575.83,1134.24,2.0,112.0,-42.6614,-41.419,-37.92473,4.799197,-41.41899,-73.45321,-12.03422,8.0
58,1575.87,1136.24,2.0,114.0,-41.6114,-39.90943,-41.52387,3.189549,-39.90942,-72.40321,-12.49379,8.0
59,1575.88,1138.24,2.0,116.0,-43.1908,-38.90241,-38.26421,-2.264333,-38.9024,-73.98261,-15.08021,11.0
60,1575.84,1140.23,2.0,118.0,-43.8904,-41.44397,-37.29919,1.212001,-41.44396,-74.68221,-13.23825,11.0
61,1575.74,1142.23,2.0,120.0,-42.3825,-41.57909,-43.8194,6.920527,-41.57908,-73.17431,-11.59523,8.0
62,1575.57,1144.22,2.0,122.0,-40.3508,-38.99228,-40.48391,4.350201,-38.99227,-71.14261,-12.15034,8.0
63,1575.33,1146.21,2.0,124.0,-45.0896,-41.8176,-47.27368,-0.508538,-41.81759,-75.88141,-14.06382,8.0
64,1575.0,1148.18,2.0,126.0,-44.7446,-42.04542,-46.11757,0.6462364,-42.04541,-75.53641,-13.491,8.0
65,1574.58,1150.14,2.0,128.0,-44.3111,-41.71856,-45.22577,0.8800041,-41.71855,-75.10291,-13.38436,8.0
66,1574.07,1152.07,2.0,130.0,-47.5022,-43.84279,-47.24654,-1.213739,-43.84277,-78.29402,-14.45124,19.0
67,1573.45,1153.97,2.0,132.0,-34.5698,-33.9345,-33.76418,8.026491,-33.9345,-65.36161,-11.42712,20.0
68,1572.74,1155.84,2.0,134.0,-34.2687,-33.72905,-33.51273,8.784091,-33.72905,-65.06051,-11.33146,20.0
69,1571.93,1157.67,2.0,136.0,-34.1237,-33.99605,-35.87147,15.25372,-33.99605,-64.91551,-10.91946,20.0
70,1571.04,1159.46,2.0,138.0,-33.403,-33.13176,-33.8549,11.908,-33.13176,-64.19481,-11.06305,20.0
71,1570.07,1161.21,2.0,140.0,-33.4507,-32.40807,-36.25437,5.664804,-32.40807,-64.24251,-11.83444,20.0
72,1569.03,1162.92,2.0,142.0,-34.8152,-34.6024,-34.32322,12.99112,-34.60239,-65.60701,-11.00462,20.0
73,1567.94,1164.59,2.0,144.0,-34.5357,-33.99596,-32.40072,8.783301,-33.99596,-65.32752,-11.33156,20.0
74,1566.74,1166.19,2.0,146.0,-33.5622,-32.33646,-30.85577,4.866607,-32.33646,-64.35401,-12.01755,20.0
75,1565.42,1167.7,2.0,148.0,-31.7719,-31.34566,-34.67706,9.866487,-31.34566,-62.56371,-11.21805,20.0
76,1564.02,1169.12,2.0,150.0,-33.5231,-32.39676,-34.42819,5.285812,-32.39676,-64.31491,-11.91815,20.0
77,1562.55,1170.47,2.0,152.0,-30.6906,-28.81361,-39.00706,2.670969,-28.8136,-61.48241,-12.66881,11.0
78,1561.02,1171.77,2.0,154.0,-32.5051,-28.36337,-24.85355,-2.028196,-28.36337,-63.29691,-14.93355,11.0
79,1559.46,1173.02,2.0,156.0,-28.0465,-26.28993,-30.95734,3.023343,-26.28993,-58.83831,-12.54838,11.0
80,1557.87,1174.23,2.0,158.0,-32.1281,-28.19232,-25.93837,-1.687973,-28.19232,-62.91991,-14.72759,11.0
81,1556.25,1175.41,2.0,160.0,-30.9468,-27.26321,-24.15035,-1.256064,-27.26321,-61.73861,-14.4754,11.0
82,1554.62,1176.55,2.0,162.0,-29.8064,-26.64006,-31.43161,-0.3066737,-26.64006,-60.59821,-13.95816,8.0
83,1552.96,1177.68,2.0,164.0,-30.0268,-26.58165,-24.30694,-0.8300973,-26.58165,-60.81861,-14.23696,8.0
84,1551.3,1178.78,2.0,166.0,-28.6807,-26.78765,-23.53733,2.625373,-26.78765,-59.47251,-12.68486,8.0
85,1549.62,1179.87,2.0,168.0,-30.2239,-27.72051,-35.42052,1.080899,-27.72051,-61.01571,-13.2952,8.0
86,1547.93,1180.94,2.0,170.0,-29.7606,-27.54263,-25.23023,1.76221,-27.54263,-60.55241,-13.00978,8.0
87,1546.24,1182.01,2.0,172.0,-32.1782,-29.31384,-28.95948,0.2969429,-29.31384,-62.97001,-13.65618,8.0
88,1544.54,1183.07,2.0,174.0,-33.2381,-30.56264,-44.60627,0.6976777,-30.56264,-64.02991,-13.46727,20.0
89,1542.85,1184.13,2.0,176.0,-33.6115,-31.39163,-40.90483,1.757457,-31.39163,-64.40331,-13.01168,20.0
90,1541.15,1185.18,2.0,178.0,-33.9438,-33.11698,-34.42302,6.783766,-33.11698,-64.73561,-11.61863,20.0
91,1539.46,1186.25,2.0,180.0,-34.4975,-32.48028,-33.28952,2.282729,-32.48028,-65.28931,-12.80903,20.0
92,1537.77,1187.32,2.0,182.0,-34.3993,-33.46789,-33.24307,6.212392,-33.46789,-65.19111,-11.72323,20.0
93,1536.09,1188.41,2.0,184.0,-34.4702,-33.91553,-34.46758,8.657183,-33.91553,-65.26201,-11.34649,20.0
94,1534.43,1189.53,2.0,186.0,-34.6896,-34.63264,-35.22552,18.793,-34.63263,-65.48142,-10.84878,20.0
95,1532.8,1190.69,2.0,188.0,-35.4772,-35.01861,-35.30143,9.532225,-35.0186,-66.26901,-11.25041,20.0
96,1531.22,1191.91,2.0,190.0,-34.6868,-34.21609,-33.09492,9.412848,-34.21609,-65.47861,-11.26252,20.0
97,1529.72,1193.23,2.0,192.0,-34.8614,-34.19096,-35.11889,7.774694,-34.19096,-65.65321,-11.46226,20.0
98,1528.31,1194.64,2.0,194.0,-34.0805,-33.49423,-36.34769,8.400425,-33.49423,-64.87231,-11.37808,20.0
99,1526.4,1194.98,2.0,196.0,-34.9967,-33.72125,-36.81884,4.667871,-33.72125,-65.78851,-12.06727,20.0
100,1524.6,1194.14,2.0,198.0,-34.5111,-33.97028,-33.28788,8.774069,-33.97028,-65.30291,-11.33264,20.0
101,1523.08,1192.84,2.0,200.0,-33.4762,-33.19842,-33.03051,11.80114,-33.19842,-64.26801,-11.0696,20.0
102,1521.75,1191.35,2.0,202.0,-49.2448,-45.75367,-50.62136,-0.9137303,-45.75365,-80.03661,-14.28296,11.0
103,1520.59,1189.72,2.0,204.0,-47.9937,-44.50906,-50.04339,-0.9019719,-44.50904,-78.78551,-14.27647,19.0
104,1519.62,1187.97,2.0,206.0,-39.0323,-37.99823,-36.49663,5.705035,-37.99822,-69.82411,-11.82589,19.0
105,1520.17,1187.15,2.0,208.0,-41.8458,-40.42489,-47.00643,4.122345,-40.42488,-72.63761,-12.21273,19.0
106,1521.62,1188.53,2.0,210.0,-51.0853,-47.31769,-44.87686,-1.40203,-47.31765,-81.87711,-14.55946,11.0
107,1522.94,1190.04,2.0,212.0,-46.3362,-45.01517,-50.22517,4.491388,-45.01515,-77.12802,-12.11286,11.0
108,1524.2,1191.59,2.0,214.0,-45.639,-41.796,-44.83752,-1.531165,-41.79598,-76.43081,-14.63483,11.0
109,1525.43,1193.16,2.0,216.0,-33.1629,-32.79829,-32.66742,10.576,-32.79829,-63.95471,-11.15642,20.0
110,1526.64,1194.76,2.0,218.0,-35.275,-34.07342,-34.15487,4.965684,-34.07342,-66.06681,-11.99339,20.0
111,1527.82,1196.37,2.0,220.0,-32.2139,-31.83776,-34.17333,10.43484,-31.83776,-63.00572,-11.16796,20.0
112,1529.0,1197.99,2.0,222.0,-32.7296,-32.25804,-30.88236,9.404541,-32.25804,-63.52141,-11.26337,20.0
113,1530.16,1199.61,2.0,224.0,-34.9774,-34.40136,-34.11382,8.482059,-34.40136,-65.76922,-11.36786,20.0
114,1531.31,1201.25,2.0,226.0,-43.6886,-40.20556,-37.34332,-0.8990456,-40.20555,-74.48041,-14.27486,20.0
