# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1362.82,1184.55,2.0,0.0,-12.5866,-10.99768,-8.16832,3.548181,-10.99768,-43.37841,-12.38073,11.0
2,1361.37,1185.94,2.0,2.0,-12.2953,-10.74486,-12.34035,3.675053,-10.74486,-43.08711,-12.34225,11.0
3,1359.93,1187.32,2.0,4.0,-11.8747,-10.37063,-9.8494,3.831444,-10.37063,-42.66651,-12.29588,11.0
4,1358.48,1188.69,2.0,6.0,-12.1526,-10.35299,-9.515057,2.895238,-10.35299,-42.94441,-12.59142,11.0
5,1357.04,1190.07,2.0,8.0,-11.8906,-10.04331,-14.75309,2.756149,-10.04331,-42.68241,-12.63911,11.0
6,1355.59,1191.45,2.0,10.0,-11.7841,-9.89328,-8.003954,2.631683,-9.89328,-42.57591,-12.68263,11.0
7,1354.14,1192.83,2.0,12.0,-12.3291,-10.04803,-26.58099,1.6061,-10.04803,-43.12091,-13.07289,11.0
8,1352.69,1194.2,2.0,14.0,-11.8033,-9.514261,-7.211195,1.586642,-9.514261,-42.59511,-13.08085,11.0
9,1351.24,1195.58,2.0,16.0,-12.4362,-9.546138,-14.18981,0.2439017,-9.546138,-43.22801,-13.68187,11.0
10,1349.79,1196.95,2.0,18.0,-11.877,-9.276795,-6.066269,0.862996,-9.276794,-42.66881,-13.39202,11.0
11,1348.34,1198.33,2.0,20.0,-12.7953,-9.676679,-13.75984,-0.2140064,-9.67668,-43.58711,-13.91043,11.0
12,1346.89,1199.7,2.0,22.0,-12.6053,-9.52739,-7.145459,-0.1341842,-9.527391,-43.39711,-13.86972,11.0
13,1345.44,1201.07,2.0,24.0,-12.5559,-9.683626,-11.10473,0.2805839,-9.683627,-43.34771,-13.66409,8.0
14,1343.98,1202.44,2.0,26.0,-12.2541,-9.76169,-8.76577,1.106007,-9.761691,-43.04591,-13.28422,8.0
15,1342.53,1203.81,2.0,28.0,-11.8975,-9.784365,-11.04925,2.029242,-9.784365,-42.68931,-12.90495,8.0
16,1341.07,1205.18,2.0,30.0,-12.0332,-10.19823,-9.763835,2.791806,-10.19823,-42.82501,-12.62678,8.0
17,1339.62,1206.55,2.0,32.0,-12.411,-10.46258,-11.2162,2.470453,-10.46258,-43.20281,-12.74023,8.0
18,1338.17,1207.92,2.0,34.0,-12.4371,-10.57302,-10.66256,2.707881,-10.57302,-43.22891,-12.65589,8.0
19,1336.71,1209.29,2.0,36.0,-12.1775,-10.67764,-11.82818,3.845859,-10.67764,-42.96931,-12.29167,8.0
20,1335.25,1210.66,2.0,38.0,-12.8961,-11.41529,-10.91144,3.911424,-11.41529,-43.68791,-12.27262,8.0
21,1333.8,1212.02,2.0,40.0,-12.7038,-11.51678,-13.0115,5.026228,-11.51678,-43.49561,-11.97884,8.0
22,1332.34,1213.39,2.0,42.0,-12.985,-11.88584,-11.54683,5.406089,-11.88584,-43.77681,-11.89097,8.0
23,1330.88,1214.76,2.0,44.0,-13.7336,-12.64224,-14.94525,5.441053,-12.64224,-44.52541,-11.88317,8.0
24,1329.42,1216.12,2.0,46.0,-14.0091,-13.00858,-11.08997,5.865728,-13.00858,-44.80091,-11.79233,8.0
25,1327.96,1217.49,2.0,48.0,-14.5312,-13.37691,-22.15667,5.16476,-13.37691,-45.32301,-11.94611,8.0
26,1326.5,1218.85,2.0,50.0,-14.4348,-13.21776,-9.026123,4.902082,-13.21776,-45.22661,-12.00885,8.0
27,1325.05,1220.22,2.0,52.0,-14.8426,-13.3594,-23.71919,3.903163,-13.3594,-45.63441,-12.27501,8.0
28,1323.59,1221.58,2.0,54.0,-15.344,-13.32189,-10.79561,2.269584,-13.32189,-46.13581,-12.81392,8.0
29,1322.13,1222.94,2.0,56.0,-16.4843,-14.03779,-12.73358,1.211853,-14.03779,-47.27611,-13.23832,8.0
30,1320.66,1224.3,2.0,58.0,-17.5087,-14.06756,-16.97295,-0.8227567,-14.06757,-48.30051,-14.23294,8.0
31,1319.2,1225.67,2.0,60.0,-16.4982,-13.5687,-9.747293,0.1631296,-13.5687,-47.29001,-13.72131,11.0
32,1317.74,1227.03,2.0,62.0,-14.7878,-12.91117,-25.59024,2.672007,-12.91117,-45.57961,-12.66844,11.0
33,1316.28,1228.39,2.0,64.0,-14.4063,-13.08379,-12.13006,4.485838,-13.08379,-45.19811,-12.11432,11.0
34,1314.81,1229.75,2.0,66.0,-13.508,-12.29552,-19.12298,4.92075,-12.29552,-44.29981,-12.0043,11.0
35,1313.35,1231.12,2.0,68.0,-12.6225,-11.59505,-13.9621,5.736367,-11.59504,-43.41431,-11.81927,11.0
36,1311.89,1232.48,2.0,70.0,-12.3323,-11.59937,-15.53252,7.355566,-11.59937,-43.12411,-11.52475,11.0
37,1310.42,1233.84,2.0,72.0,-11.9202,-9.928059,-18.60712,2.350564,-9.928059,-42.71201,-12.78395,11.0
38,1308.96,1235.2,2.0,74.0,-11.4853,-9.770772,-9.811749,3.150966,-9.770771,-42.27711,-12.50634,11.0
39,1307.5,1236.56,2.0,76.0,-11.192,-9.157697,-14.30407,2.236896,-9.157696,-41.98381,-12.82612,11.0
40,1306.03,1237.92,2.0,78.0,-10.3441,-8.806686,-4.375179,3.718575,-8.806687,-41.13591,-12.32923,11.0
41,1304.57,1239.28,2.0,80.0,-10.2838,-7.964769,-5.26615,1.513791,-7.964769,-41.07561,-13.11084,11.0
42,1303.1,1240.64,2.0,82.0,-10.0145,-7.923472,-10.10202,2.086862,-7.923473,-40.80631,-12.88284,11.0
43,1301.64,1242.0,2.0,84.0,-9.39753,-7.028978,-9.854091,1.395046,-7.028977,-40.18934,-13.16037,11.0
44,1300.17,1243.35,2.0,86.0,-6.782219,-5.188854,-7.606575,3.533677,-5.188854,-37.57403,-12.38518,11.0
45,1298.71,1244.71,2.0,88.0,-12.4713,-8.537726,-13.66783,-1.684264,-8.537725,-43.26311,-14.72539,8.0
46,1297.24,1246.07,2.0,90.0,-6.72216,-4.866939,-5.408698,2.733305,-4.866939,-37.51397,-12.64703,11.0
47,1295.78,1247.43,2.0,92.0,-7.75603,-4.929352,-3.593046,0.3753502,-4.929351,-38.54784,-13.61849,11.0
48,1294.31,1248.78,2.0,94.0,-12.968,-10.39521,-10.14914,0.9240717,-10.39521,-43.75981,-13.36461,8.0
49,1292.85,1250.14,2.0,96.0,-11.324,-7.059388,-6.913341,-2.226365,-7.059388,-42.11581,-15.05642,8.0
50,1291.38,1251.5,2.0,98.0,-10.3309,-7.813597,-7.415607,1.049206,-7.813598,-41.12271,-13.30912,8.0
51,1289.91,1252.86,2.0,100.0,-11.2826,-7.816008,-7.071516,-0.8691723,-7.816007,-42.07441,-14.25841,8.0
52,1288.45,1254.21,2.0,102.0,-12.9509,-9.907563,-13.66802,-0.06582859,-9.907564,-43.74271,-13.83515,8.0
53,1286.98,1255.57,2.0,104.0,-13.5812,-9.861666,-9.159322,-1.318741,-9.861666,-44.37301,-14.51135,8.0
54,1285.52,1256.93,2.0,106.0,-11.9838,-9.198219,-5.409692,0.4617041,-9.198219,-42.77561,-13.57739,8.0
55,1284.05,1258.28,2.0,108.0,-10.6445,-7.076415,-5.151918,-1.052013,-7.076415,-41.43631,-14.3599,8.0
56,1282.58,1259.64,2.0,110.0,-8.486941,-5.859577,-7.498169,0.8029315,-5.859577,-39.27875,-13.41918,19.0
57,1281.12,1261.0,2.0,112.0,-11.0784,-7.694029,-7.632595,-0.7184624,-7.694031,-41.87021,-14.17618,19.0
58,1279.65,1262.35,2.0,114.0,-11.6971,-9.268789,-7.415764,1.254214,-9.268789,-42.48891,-13.22012,8.0
59,1278.18,1263.71,2.0,116.0,-12.1953,-8.959985,-3.77872,-0.4389467,-8.959984,-42.98711,-14.02713,11.0
60,1276.71,1265.06,2.0,118.0,-10.2761,-7.826254,-3.035435,1.204106,-7.826253,-41.06791,-13.24166,11.0
61,1275.25,1266.42,2.0,120.0,-9.965119,-8.319365,-5.603251,3.365362,-8.319364,-40.75693,-12.43757,11.0
62,1273.78,1267.78,2.0,122.0,-9.792139,-7.848832,-9.981467,2.484602,-7.848831,-40.58395,-12.73512,11.0
63,1272.31,1269.13,2.0,124.0,-9.461479,-7.635104,-10.09688,2.816799,-7.635104,-40.25329,-12.61819,11.0
64,1270.84,1270.49,2.0,126.0,-8.411641,-7.271046,-8.804108,5.223757,-7.271046,-39.20345,-11.93241,11.0
65,1269.37,1271.85,2.0,128.0,-5.92901,-4.990316,-5.578625,6.174806,-4.990316,-36.72082,-11.73051,11.0
66,1267.91,1273.2,2.0,130.0,-5.925901,-5.16377,-4.478492,7.17091,-5.16377,-36.71771,-11.55394,11.0
67,1266.44,1274.56,2.0,132.0,-10.5684,-8.45542,-5.880764,2.029651,-8.455421,-41.36021,-12.90479,11.0
68,1264.98,1275.91,2.0,134.0,-10.405,-8.209807,-7.222853,1.819379,-8.209807,-41.19681,-12.98701,11.0
69,1263.51,1277.27,2.0,136.0,-10.1886,-7.643592,-13.26864,0.9864868,-7.643592,-40.98041,-13.33682,8.0
70,1262.04,1278.63,2.0,138.0,-11.4067,-8.010898,-4.394098,-0.7395542,-8.010897,-42.19851,-14.18761,8.0
71,1260.57,1279.98,2.0,140.0,-9.539859,-6.418325,-6.553765,-0.2196913,-6.418325,-40.33167,-13.91335,11.0
72,1259.1,1281.34,2.0,142.0,-12.6126,-8.219734,-3.737021,-2.429656,-8.219734,-43.40441,-15.18468,11.0
73,1257.63,1282.7,2.0,144.0,-9.00923,-7.13745,-11.09418,2.685842,-7.137449,-39.80104,-12.66359,8.0
74,1256.17,1284.05,2.0,146.0,-7.91136,-6.21871,-8.343448,3.218391,-6.218709,-38.70317,-12.48446,8.0
75,1254.7,1285.41,2.0,148.0,-8.064649,-6.172515,-12.74398,2.627962,-6.172515,-38.85646,-12.68395,8.0
76,1253.23,1286.77,2.0,150.0,-9.58473,-6.130209,-11.36761,-0.8471919,-6.130209,-40.37654,-14.24633,8.0
77,1251.76,1288.12,2.0,152.0,-8.653851,-6.454618,-5.773709,1.809211,-6.454618,-39.44566,-12.99105,11.0
78,1250.3,1289.48,2.0,154.0,-7.98665,-5.704343,-4.912298,1.603088,-5.704343,-38.77846,-13.07412,11.0
79,1248.83,1290.83,2.0,156.0,-8.08466,-5.851357,-9.109162,1.723968,-5.851357,-38.87647,-13.02512,11.0
80,1247.37,1292.19,2.0,158.0,-7.693,-6.228787,-6.826426,3.969146,-6.228787,-38.48481,-12.25603,11.0
81,1245.9,1293.55,2.0,160.0,-8.552849,-6.485656,-10.1641,2.149515,-6.485655,-39.34466,-12.85901,11.0
82,1244.43,1294.91,2.0,162.0,-9.99068,-7.354866,-13.71378,0.7843365,-7.354867,-40.78249,-13.42763,11.0
83,1242.96,1296.26,2.0,164.0,-11.8964,-8.320737,-8.466741,-1.065534,-8.320736,-42.68821,-14.36748,11.0
84,1241.5,1297.62,2.0,166.0,-11.748,-7.954,-3.905168,-1.447362,-7.954,-42.53981,-14.58581,19.0
85,1240.03,1298.98,2.0,168.0,-11.6265,-8.003886,-7.264665,-1.148871,-8.003885,-42.41831,-14.41443,19.0
86,1238.57,1300.33,2.0,170.0,-10.7328,-7.775303,-4.75352,0.1062588,-7.775303,-41.52461,-13.74931,8.0
87,1237.1,1301.69,2.0,172.0,-10.5454,-6.673727,-5.436834,-1.579857,-6.673727,-41.33721,-14.66349,8.0
88,1235.64,1303.05,2.0,174.0,-8.63157,-5.010209,-8.014039,-1.146654,-5.010209,-39.42338,-14.41317,8.0
89,1234.17,1304.41,2.0,176.0,-8.371139,-5.213456,-1.648595,-0.2899274,-5.213456,-39.16295,-13.94949,11.0
90,1232.71,1305.77,2.0,178.0,-7.571859,-3.771265,-6.906482,-1.458677,-3.771265,-38.36367,-14.59241,11.0
91,1231.24,1307.12,2.0,180.0,-7.696371,-4.825998,-5.480329,0.2845117,-4.825998,-38.48818,-13.66219,11.0
92,1229.78,1308.48,2.0,182.0,-8.02973,-4.685512,-12.05234,-0.6439848,-4.685512,-38.82154,-14.13603,11.0
93,1228.32,1309.84,2.0,184.0,-6.728971,-4.17801,-2.541934,0.9730693,-4.17801,-37.52078,-13.34277,8.0
94,1226.85,1311.2,2.0,186.0,-7.500069,-5.260168,-5.280614,1.707576,-5.260168,-38.29188,-13.03171,8.0
95,1225.39,1312.56,2.0,188.0,-13.4395,-9.669911,-9.847314,-1.405373,-9.669911,-44.23131,-14.5614,11.0
96,1223.92,1313.92,2.0,190.0,-12.4523,-8.361452,-7.777453,-1.945104,-8.361452,-43.24411,-14.88266,11.0
97,1222.46,1315.28,2.0,192.0,-9.248571,-6.168126,-4.294069,-0.1391753,-6.168127,-40.04038,-13.87226,11.0
98,1221.0,1316.64,2.0,194.0,-7.476611,-5.929574,-16.80018,3.686379,-5.929574,-38.26842,-12.33885,11.0
99,1219.53,1318.01,2.0,196.0,-6.653221,-5.653006,-13.76583,5.867208,-5.653005,-37.44503,-11.79203,11.0
100,1218.07,1319.37,2.0,198.0,-6.344531,-3.96737,-0.4410144,1.374597,-3.96737,-37.13634,-13.16897,11.0
101,1216.61,1320.73,2.0,200.0,-6.30893,-4.240151,-4.544308,2.145329,-4.240152,-37.10074,-12.86059,11.0
