# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1538.24,1033.36,2.0,0.0,-13.2473,-10.23756,-27.51146,0.001128715,-10.23756,-44.03911,-13.80155,11.0
2,1539.7,1034.72,2.0,2.0,-12.8608,-10.62354,-7.906169,1.71414,-10.62354,-43.65261,-13.02907,11.0
3,1541.28,1035.95,2.0,4.0,-14.0634,-11.95395,-17.10621,2.038816,-11.95395,-44.85521,-12.90126,11.0
4,1542.95,1037.05,2.0,6.0,-12.443,-9.955019,-7.466894,1.116159,-9.95502,-43.23481,-13.27979,8.0
5,1544.66,1038.08,2.0,8.0,-13.1947,-10.56146,-10.35849,0.789995,-10.56146,-43.98651,-13.42505,11.0
6,1546.38,1039.1,2.0,10.0,-14.3025,-12.07714,-11.0627,1.743755,-12.07714,-45.09431,-13.01717,11.0
7,1548.08,1040.16,2.0,12.0,-11.0839,-8.811715,-6.148723,1.627898,-8.811715,-41.87571,-13.064,8.0
8,1549.71,1041.32,2.0,14.0,-14.1096,-11.29609,-32.69083,0.4029234,-11.29609,-44.90141,-13.60532,8.0
9,1551.24,1042.61,2.0,16.0,-14.559,-11.9906,-9.212179,0.9339048,-11.9906,-45.35081,-13.36022,11.0
10,1552.64,1044.03,2.0,18.0,-13.1926,-11.13109,-19.4193,2.164541,-11.13109,-43.98441,-12.85332,8.0
11,1553.92,1045.57,2.0,20.0,-15.0294,-12.49985,-10.08459,1.021421,-12.49985,-45.82121,-13.32136,11.0
12,1555.07,1047.2,2.0,22.0,-14.3521,-12.21488,-19.79229,1.966986,-12.21487,-45.14391,-12.92904,11.0
13,1556.1,1048.91,2.0,24.0,-14.4346,-11.44163,-9.259974,0.03473561,-11.44163,-45.22641,-13.78478,8.0
14,1557.03,1050.68,2.0,26.0,-15.1721,-12.16599,-17.62559,0.008392301,-12.16599,-45.96391,-13.79792,11.0
15,1557.88,1052.5,2.0,28.0,-14.0667,-11.32721,-10.46293,0.5596409,-11.32721,-44.85851,-13.5313,8.0
16,1558.65,1054.34,2.0,30.0,-15.6313,-12.69537,-12.77262,0.1500441,-12.69537,-46.42311,-13.72774,11.0
17,1559.36,1056.21,2.0,32.0,-16.4674,-13.75776,-16.95206,0.6236999,-13.75776,-47.25921,-13.50145,8.0
18,1560.04,1058.09,2.0,34.0,-16.5242,-14.76191,-11.97893,3.006174,-14.76191,-47.31601,-12.5541,8.0
19,1560.69,1059.98,2.0,36.0,-14.4596,-13.68186,-19.96272,7.074824,-13.68186,-45.25141,-11.56955,8.0
20,1561.32,1061.88,2.0,38.0,-13.8479,-13.20304,-13.33764,7.956756,-13.20304,-44.63971,-11.43667,8.0
21,1561.92,1063.78,2.0,40.0,-15.8973,-14.8267,-16.94417,5.535295,-14.8267,-46.68911,-11.86241,8.0
22,1562.52,1065.7,2.0,42.0,-15.2133,-14.30529,-13.92627,6.335044,-14.30529,-46.00511,-11.69982,8.0
23,1563.09,1067.61,2.0,44.0,-13.64,-13.30012,-13.32144,10.89354,-13.30012,-44.43181,-11.13169,8.0
24,1563.65,1069.53,2.0,46.0,-16.8119,-16.53536,-19.72152,11.82119,-16.53536,-47.60371,-11.06836,8.0
25,1564.2,1071.45,2.0,48.0,-15.5733,-15.31741,-13.04452,12.16877,-15.31741,-46.36511,-11.0477,8.0
26,1564.74,1073.38,2.0,50.0,-23.2595,-21.80472,-28.19676,4.002162,-21.80471,-54.05131,-12.2466,8.0
27,1565.27,1075.31,2.0,52.0,-23.0462,-21.74052,-23.72085,4.550285,-21.74052,-53.83801,-12.09749,8.0
28,1565.78,1077.24,2.0,54.0,-23.6353,-22.78888,-21.98829,6.671851,-22.78887,-54.42711,-11.63824,8.0
29,1566.29,1079.17,2.0,56.0,-27.0182,-25.62234,-27.75931,4.21278,-25.62233,-57.81001,-12.18768,8.0
30,1566.79,1081.11,2.0,58.0,-25.8028,-24.20367,-32.10767,3.514922,-24.20366,-56.59461,-12.39095,8.0
31,1567.28,1083.05,2.0,60.0,-28.5114,-25.37411,-23.53459,-0.2503895,-25.3741,-59.30321,-13.92911,11.0
32,1567.76,1084.99,2.0,62.0,-26.321,-23.60925,-30.33191,0.6191255,-23.60924,-57.11281,-13.50357,8.0
33,1568.23,1086.93,2.0,64.0,-29.9643,-27.65811,-32.80643,1.544853,-27.65809,-60.75611,-13.09802,11.0
34,1568.69,1088.88,2.0,66.0,-29.8002,-26.84745,-23.04437,0.1158495,-26.84744,-60.59201,-13.74457,8.0
35,1569.15,1090.83,2.0,68.0,-30.7065,-27.00886,-37.24665,-1.280633,-27.00885,-61.49831,-14.48946,8.0
36,1569.59,1092.78,2.0,70.0,-31.1519,-27.99155,-23.89374,-0.295113,-27.99154,-61.94371,-13.95218,8.0
37,1570.03,1094.73,2.0,72.0,-31.4377,-29.70636,-45.93804,3.099552,-29.70634,-62.22951,-12.52318,8.0
38,1570.46,1096.68,2.0,74.0,-31.5366,-30.89034,-36.86821,7.946395,-30.89031,-62.32841,-11.43811,8.0
39,1570.88,1098.63,2.0,76.0,-30.7516,-29.95405,-31.10259,6.955222,-29.95402,-61.54341,-11.58939,8.0
40,1571.29,1100.59,2.0,78.0,-31.4,-30.74749,-27.51685,7.901376,-30.74745,-62.19181,-11.44436,8.0
41,1571.69,1102.55,2.0,80.0,-33.3714,-30.99892,-30.97381,1.385633,-30.99889,-64.16321,-13.16433,8.0
42,1572.07,1104.51,2.0,82.0,-30.0525,-29.85115,-29.92899,13.23669,-29.85112,-60.84431,-10.99319,8.0
