# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
277,1395.3,1157.47,2.0,552.0,-14.8813,-13.56896,-12.00278,4.524711,-13.56896,-45.67311,-12.10415,11.0
278,1396.76,1156.1,2.0,554.0,-15.8181,-14.10438,-19.28811,3.153434,-14.10438,-46.60991,-12.50554,11.0
279,1398.22,1154.74,2.0,556.0,-16.6519,-14.94964,-17.43647,3.188682,-14.94964,-47.44371,-12.49407,11.0
280,1399.69,1153.39,2.0,558.0,-16.4646,-15.08949,-14.26417,4.288785,-15.08949,-47.25641,-12.16692,11.0
281,1401.16,1152.03,2.0,560.0,-16.2184,-14.74082,-13.70544,3.922614,-14.74082,-47.01021,-12.26939,11.0
282,1402.64,1150.69,2.0,562.0,-16.9193,-15.3122,-19.84143,3.48913,-15.3122,-47.71111,-12.39891,11.0
283,1404.12,1149.35,2.0,564.0,-18.5317,-15.97815,-27.60472,0.9672385,-15.97815,-49.32351,-13.34537,11.0
284,1405.6,1148.01,2.0,566.0,-18.4379,-16.26898,-18.75282,1.885904,-16.26898,-49.22971,-12.96073,11.0
285,1407.09,1146.68,2.0,568.0,-18.0361,-15.90295,-16.10467,1.977497,-15.90295,-48.82791,-12.92496,11.0
286,1408.59,1145.35,2.0,570.0,-20.3584,-16.5374,-13.84434,-1.493605,-16.5374,-51.15021,-14.61281,11.0
287,1410.08,1144.02,2.0,572.0,-19.0746,-16.27584,-15.11277,0.4338989,-16.27584,-49.86641,-13.59058,11.0
288,1411.58,1142.7,2.0,574.0,-20.4061,-16.2585,-16.98885,-2.037733,-16.2585,-51.19791,-14.93941,20.0
289,1413.08,1141.38,2.0,576.0,-20.2851,-17.74457,-20.28613,0.9965719,-17.74456,-51.07691,-13.33235,20.0
290,1414.59,1140.06,2.0,578.0,-19.9756,-16.30324,-21.69292,-1.236414,-16.30324,-50.76741,-14.46417,20.0
291,1416.09,1138.75,2.0,580.0,-22.555,-18.33597,-22.60155,-2.153246,-18.33597,-53.34681,-15.01084,11.0
292,1417.6,1137.44,2.0,582.0,-20.8955,-18.08239,-17.00582,0.4037511,-18.08239,-51.68731,-13.60493,8.0
293,1419.11,1136.13,2.0,584.0,-21.741,-18.87974,-16.1715,0.3033819,-18.87974,-52.53281,-13.65307,8.0
294,1420.63,1134.83,2.0,586.0,-19.9399,-16.6468,-14.07888,-0.5483025,-16.6468,-50.73171,-14.08491,8.0
295,1422.14,1133.53,2.0,588.0,-19.9247,-16.6588,-14.03191,-0.4969954,-16.65879,-50.71651,-14.05772,8.0
296,1423.66,1132.23,2.0,590.0,-18.9002,-15.31339,-18.88058,-1.085376,-15.31339,-49.69201,-14.37862,8.0
297,1425.18,1130.93,2.0,592.0,-19.0785,-15.56892,-25.42506,-0.9470333,-15.56892,-49.87032,-14.30139,8.0
298,1426.7,1129.63,2.0,594.0,-17.7514,-15.42894,-32.53049,1.505509,-15.42894,-48.54321,-13.11427,8.0
299,1428.23,1128.33,2.0,596.0,-17.5041,-15.42036,-25.50744,2.10595,-15.42036,-48.29591,-12.87556,8.0
300,1429.75,1127.04,2.0,598.0,-17.2787,-15.34911,-20.06286,2.522739,-15.34911,-48.07051,-12.7214,8.0
301,1431.28,1125.75,2.0,600.0,-16.2462,-14.51377,-15.63514,3.096321,-14.51377,-47.03801,-12.52424,8.0
302,1432.8,1124.46,2.0,602.0,-16.155,-14.4483,-15.56108,3.175013,-14.4483,-46.94681,-12.49851,8.0
303,1434.33,1123.17,2.0,604.0,-15.8715,-14.09424,-15.79106,2.961429,-14.09424,-46.66331,-12.56908,8.0
304,1435.86,1121.89,2.0,606.0,-15.8007,-13.89388,-17.12221,2.586504,-13.89388,-46.59251,-12.69864,8.0
