# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
231,1789.59,1628.34,2.0,460.0,-52.9733,-52.78746,-51.76286,13.47069,-52.78226,-83.76511,-10.98285,19.0
232,1788.49,1626.67,2.0,462.0,-50.4974,-50.44027,-50.736,18.55451,-50.43724,-81.28921,-10.85197,19.0
233,1787.39,1625.01,2.0,464.0,-46.9248,-46.89657,-46.12722,21.65377,-46.89523,-77.71661,-10.82139,19.0
234,1786.28,1623.34,2.0,466.0,-48.2147,-48.17644,-49.21472,20.33084,-48.17464,-79.00651,-10.83187,19.0
235,1785.18,1621.67,2.0,468.0,-45.58,-45.55685,-44.84112,22.54002,-45.55587,-76.37181,-10.81594,19.0
236,1784.07,1620.01,2.0,470.0,-43.9042,-43.84009,-43.65816,18.2312,-43.83942,-74.69601,-10.85659,19.0
237,1782.97,1618.34,2.0,472.0,-44.287,-44.23354,-43.24799,19.01202,-44.23282,-75.07881,-10.846,19.0
238,1781.87,1616.68,2.0,474.0,-43.6429,-43.62356,-44.21226,23.36457,-43.62293,-74.43471,-10.81178,19.0
239,1780.76,1615.01,2.0,476.0,-50.4948,-50.42459,-49.93965,17.69417,-50.42157,-81.28662,-10.86504,19.0
240,1779.66,1613.35,2.0,478.0,-46.7124,-46.53078,-45.55584,13.66523,-46.52955,-77.50421,-10.97466,19.0
241,1778.55,1611.68,2.0,480.0,-54.6107,-51.49899,-62.90257,-0.2080727,-51.49512,-85.40251,-13.90739,19.0
242,1777.45,1610.01,2.0,482.0,-55.6462,-54.1719,-50.75508,3.909199,-54.16475,-86.43801,-12.27326,20.0
243,1776.34,1608.35,2.0,484.0,-47.1453,-46.51075,-46.35636,8.023027,-46.50952,-77.93711,-11.42759,19.0
244,1775.24,1606.68,2.0,486.0,-49.565,-48.80958,-49.83263,7.199759,-48.8075,-80.35681,-11.54931,19.0
245,1774.14,1605.02,2.0,488.0,-48.5573,-47.72552,-50.71932,6.745938,-47.7239,-79.34911,-11.62521,19.0
246,1773.03,1603.35,2.0,490.0,-46.5053,-46.0046,-45.36355,9.119327,-46.00351,-77.29711,-11.2936,19.0
247,1771.93,1601.69,2.0,492.0,-52.1462,-50.14528,-56.60231,2.319075,-50.14245,-82.93801,-12.79556,19.0
248,1770.82,1600.02,2.0,494.0,-48.9037,-47.72962,-45.37852,5.073732,-47.72799,-79.69552,-11.96752,19.0
249,1769.72,1598.36,2.0,496.0,-55.79,-51.6306,-49.99016,-2.063374,-51.62661,-86.58182,-14.9552,8.0
250,1768.61,1596.69,2.0,498.0,-56.2682,-52.6356,-57.46401,-1.175356,-52.63058,-87.06001,-14.42943,19.0
251,1767.51,1595.02,2.0,500.0,-51.6777,-49.02194,-45.77874,0.7358323,-49.01976,-82.46952,-13.44976,19.0
252,1766.4,1593.36,2.0,502.0,-51.5582,-47.50379,-47.16352,-1.887752,-47.50225,-82.35001,-14.84776,8.0
253,1765.3,1591.69,2.0,504.0,-57.8433,-55.47064,-51.51346,1.36239,-55.46099,-88.63512,-13.17412,20.0
254,1764.2,1590.03,2.0,506.0,-52.1961,-47.88621,-57.53967,-2.301211,-47.88453,-82.98791,-15.10339,11.0
255,1763.09,1588.36,2.0,508.0,-51.7001,-47.23932,-42.74457,-2.53817,-47.23787,-82.49191,-15.25404,19.0
256,1761.99,1586.7,2.0,510.0,-49.4723,-47.81336,-49.50322,3.318485,-47.81171,-80.26412,-12.45241,11.0
257,1760.88,1585.03,2.0,512.0,-53.0158,-48.58741,-44.50214,-2.488449,-48.58544,-83.80762,-15.22218,8.0
258,1759.78,1583.37,2.0,514.0,-49.3097,-46.61201,-48.04371,0.6467524,-46.61075,-80.10151,-13.49076,11.0
259,1758.67,1581.7,2.0,516.0,-48.7531,-47.43835,-55.06681,4.509649,-47.43683,-79.54491,-12.10808,11.0
260,1757.57,1580.04,2.0,518.0,-56.3389,-53.27522,-54.144,-0.1176105,-53.2694,-87.13071,-13.86132,20.0
261,1756.46,1578.37,2.0,520.0,-50.2386,-48.3156,-46.20337,2.535941,-48.31374,-81.03041,-12.71667,11.0
262,1755.36,1576.71,2.0,522.0,-53.5245,-50.4175,-56.58072,-0.1971951,-50.41449,-84.31632,-13.90183,11.0
263,1754.26,1575.04,2.0,524.0,-50.0626,-48.29639,-44.67734,2.9889,-48.29454,-80.85441,-12.55987,11.0
264,1753.15,1573.38,2.0,526.0,-52.1709,-48.26229,-42.62088,-1.645376,-48.26045,-82.96271,-14.70226,19.0
265,1752.05,1571.71,2.0,528.0,-45.7657,-41.82899,-41.95167,-1.690233,-41.82857,-76.55751,-14.72894,19.0
266,1750.94,1570.05,2.0,530.0,-43.5947,-41.91633,-42.73433,3.261472,-41.91591,-74.38651,-12.4706,19.0
267,1749.84,1568.38,2.0,532.0,-45.7384,-44.6331,-42.23035,5.375134,-44.6323,-76.53021,-11.89791,19.0
268,1748.73,1566.72,2.0,534.0,-45.0817,-44.33532,-42.37046,7.264986,-44.33458,-75.87351,-11.53894,19.0
269,1747.63,1565.05,2.0,536.0,-43.0821,-42.0842,-39.42347,5.876319,-42.08376,-73.87391,-11.79015,19.0
270,1746.53,1563.39,2.0,538.0,-42.7378,-41.89574,-40.71639,6.694181,-41.89532,-73.52961,-11.6343,19.0
271,1745.42,1561.72,2.0,540.0,-44.3543,-41.91292,-44.83053,1.22277,-41.91249,-75.14611,-13.23362,8.0
272,1744.32,1560.06,2.0,542.0,-46.0248,-43.4104,-46.17745,0.8302106,-43.4098,-76.81661,-13.40682,8.0
273,1743.21,1558.39,2.0,544.0,-46.6115,-43.8371,-61.9137,0.483942,-43.83643,-77.40331,-13.56688,19.0
274,1742.11,1556.73,2.0,546.0,-46.6647,-44.46372,-50.62921,1.802895,-44.46296,-77.45651,-12.99356,8.0
275,1741.0,1555.06,2.0,548.0,-42.2823,-39.31624,-44.19196,0.08846172,-39.31601,-73.07411,-13.75811,19.0
276,1739.9,1553.39,2.0,550.0,-45.4942,-43.82981,-43.31686,3.304448,-43.82914,-76.28602,-12.45687,19.0
277,1738.79,1551.73,2.0,552.0,-45.8341,-44.12452,-48.4054,3.163972,-44.12381,-76.62591,-12.5021,8.0
278,1737.69,1550.06,2.0,554.0,-47.8345,-45.86092,-52.28615,2.398312,-45.85987,-78.62631,-12.76645,8.0
279,1736.59,1548.4,2.0,556.0,-40.6247,-40.29525,-39.49764,11.03019,-40.29496,-71.41651,-11.12155,19.0
280,1735.48,1546.73,2.0,558.0,-45.0988,-44.05655,-41.97025,5.6633,-44.05585,-75.89061,-11.83476,19.0
281,1734.38,1545.07,2.0,560.0,-43.3377,-43.02878,-43.82736,11.31599,-43.02823,-74.12951,-11.10128,19.0
282,1733.27,1543.4,2.0,562.0,-41.7843,-41.43509,-39.7793,10.76626,-41.43471,-72.57611,-11.1414,19.0
283,1732.17,1541.74,2.0,564.0,-45.7248,-43.80507,-40.8077,2.548424,-43.80441,-76.51661,-12.71221,19.0
284,1731.07,1540.07,2.0,566.0,-43.8826,-42.15024,-48.93467,3.095165,-42.14979,-74.67441,-12.52462,19.0
285,1729.96,1538.41,2.0,568.0,-44.8343,-43.62332,-44.81413,4.924329,-43.62269,-75.62611,-12.00342,19.0
286,1728.86,1536.74,2.0,570.0,-49.3017,-46.08215,-43.77743,-0.4109971,-46.08104,-80.09351,-14.01247,8.0
287,1727.76,1535.08,2.0,572.0,-43.9827,-41.36787,-37.72864,0.829757,-41.36749,-74.77451,-13.40702,19.0
288,1726.65,1533.41,2.0,574.0,-43.4724,-43.00461,-45.06213,9.436024,-43.00407,-74.26421,-11.26015,19.0
289,1725.55,1531.75,2.0,576.0,-46.1755,-43.78756,-40.22408,1.347516,-43.7869,-76.96731,-13.18041,11.0
290,1724.44,1530.08,2.0,578.0,-44.857,-43.15117,-41.16048,3.175946,-43.1506,-75.64881,-12.49821,19.0
291,1723.34,1528.42,2.0,580.0,-43.7551,-42.62348,-40.72407,5.260546,-42.62298,-74.54691,-11.92394,8.0
292,1722.24,1526.75,2.0,582.0,-47.6999,-46.24637,-47.37905,4.002539,-46.24522,-78.49171,-12.24649,8.0
293,1721.13,1525.09,2.0,584.0,-52.2507,-49.0153,-48.72185,-0.4432667,-49.01311,-83.04251,-14.0294,19.0
294,1720.03,1523.42,2.0,586.0,-43.8602,-42.60533,-44.78031,4.747365,-42.60484,-74.65201,-12.04717,8.0
295,1718.93,1521.75,2.0,588.0,-48.8801,-46.93066,-51.47675,2.46388,-46.9293,-79.67191,-12.74261,19.0
296,1717.82,1520.09,2.0,590.0,-43.9724,-40.5577,-43.73036,-0.7749078,-40.55739,-74.76421,-14.20683,8.0
297,1716.72,1518.42,2.0,592.0,-41.8386,-40.50728,-37.67239,4.451189,-40.50697,-72.63041,-12.12344,8.0
298,1715.61,1516.76,2.0,594.0,-43.3156,-40.9413,-39.10972,1.38058,-40.94096,-74.10741,-13.16645,8.0
299,1714.51,1515.09,2.0,596.0,-44.5606,-41.66479,-39.84458,0.2312531,-41.66439,-75.35241,-13.68802,8.0
300,1713.41,1513.43,2.0,598.0,-46.46,-42.80838,-48.32331,-1.200923,-42.80786,-77.25181,-14.44395,19.0
301,1712.31,1511.76,2.0,600.0,-36.0332,-35.47286,-37.67456,8.609305,-35.47276,-66.82501,-11.35225,8.0
302,1711.2,1510.1,2.0,602.0,-40.9106,-39.95072,-41.01615,6.065536,-39.95045,-71.70241,-11.75196,8.0
303,1710.1,1508.43,2.0,604.0,-37.3627,-36.59068,-39.02876,7.109063,-36.59055,-68.15451,-11.56396,8.0
304,1709.0,1506.76,2.0,606.0,-44.1845,-39.7766,-49.59644,-2.453666,-39.77635,-74.97632,-15.19997,8.0
305,1707.89,1505.1,2.0,608.0,-43.7962,-41.67899,-51.23169,2.017642,-41.67859,-74.58801,-12.90942,19.0
306,1706.79,1503.43,2.0,610.0,-44.1873,-41.89689,-39.80466,1.582253,-41.89647,-74.97912,-13.08265,19.0
307,1705.69,1501.76,2.0,612.0,-44.759,-42.34066,-41.27301,1.276432,-42.34019,-75.55081,-13.21062,19.0
308,1704.59,1500.1,2.0,614.0,-40.5135,-39.92887,-40.75917,8.411317,-39.9286,-71.30531,-11.37671,19.0
309,1703.48,1498.43,2.0,616.0,-41.8749,-41.35591,-42.00663,8.960845,-41.35553,-72.66671,-11.31118,19.0
310,1702.38,1496.76,2.0,618.0,-42.3317,-41.44625,-40.94046,6.453883,-41.44587,-73.12351,-11.67765,19.0
311,1701.28,1495.1,2.0,620.0,-37.8336,-36.99782,-34.04307,6.731547,-36.99768,-68.62541,-11.62773,19.0
312,1700.18,1493.43,2.0,622.0,-36.411,-36.33226,-37.23998,17.37006,-36.33214,-67.20281,-10.87067,19.0
313,1699.07,1491.76,2.0,624.0,-38.9102,-38.73265,-38.03456,13.79039,-38.73244,-69.70201,-10.96957,19.0
314,1697.97,1490.1,2.0,626.0,-37.4251,-37.32219,-35.88444,16.19527,-37.32204,-68.21691,-10.89487,19.0
315,1696.87,1488.43,2.0,628.0,-36.7485,-36.67395,-37.04835,17.60878,-36.67383,-67.54031,-10.86649,19.0
316,1695.77,1486.76,2.0,630.0,-37.0736,-36.86026,-37.35447,12.97722,-36.86013,-67.86541,-11.00529,19.0
317,1694.67,1485.09,2.0,632.0,-36.0855,-35.63263,-33.42494,9.588684,-35.63253,-66.87731,-11.24478,19.0
