# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1362.82,1184.55,2.0,0.0,-14.9627,-13.20668,-10.41302,3.024982,-13.20668,-45.75451,-12.54784,11.0
2,1361.37,1185.94,2.0,2.0,-14.6824,-12.86875,-14.64066,2.853964,-12.86875,-45.47421,-12.60546,11.0
3,1359.93,1187.32,2.0,4.0,-14.2266,-12.41099,-11.98999,2.848243,-12.41099,-45.01841,-12.60742,11.0
4,1358.48,1188.69,2.0,6.0,-14.5819,-12.49726,-11.65824,2.103591,-12.49726,-45.37371,-12.87646,11.0
5,1357.04,1190.07,2.0,8.0,-14.3289,-12.18905,-16.61277,1.960248,-12.18905,-45.12071,-12.93166,11.0
6,1355.59,1191.45,2.0,10.0,-14.1853,-11.97206,-9.992993,1.774051,-11.97206,-44.97711,-13.00505,11.0
7,1354.14,1192.83,2.0,12.0,-14.7014,-12.13461,-31.84413,0.937517,-12.13461,-45.49321,-13.3586,11.0
8,1352.69,1194.2,2.0,14.0,-14.1904,-11.65184,-9.29405,1.00104,-11.65184,-44.98221,-13.33037,11.0
9,1351.24,1195.58,2.0,16.0,-14.8959,-11.81035,-18.5846,-0.1492138,-11.81035,-45.68771,-13.87736,8.0
10,1349.79,1196.95,2.0,18.0,-14.2915,-11.44138,-8.797564,0.3264971,-11.44138,-45.08331,-13.64193,11.0
11,1348.34,1198.33,2.0,20.0,-14.5038,-11.75728,-15.06397,0.5446192,-11.75728,-45.29561,-13.53833,8.0
12,1346.89,1199.7,2.0,22.0,-14.3387,-11.56714,-9.473917,0.4913707,-11.56714,-45.13051,-13.56337,8.0
13,1345.44,1201.07,2.0,24.0,-14.0936,-11.70946,-12.81702,1.35806,-11.70946,-44.88541,-13.17595,8.0
14,1343.98,1202.44,2.0,26.0,-13.8206,-11.67176,-10.51803,1.937168,-11.67176,-44.61241,-12.94065,8.0
15,1342.53,1203.81,2.0,28.0,-13.3934,-11.53302,-12.43482,2.718474,-11.53302,-44.18521,-12.65219,8.0
16,1341.07,1205.18,2.0,30.0,-13.4525,-11.89993,-10.88796,3.667954,-11.89993,-44.24431,-12.34438,8.0
