# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1678.54,1480.56,2.0,0.0,-33.1404,-32.34149,-32.96743,6.947005,-32.34144,-63.93221,-11.59077,11.0
2,1676.55,1480.37,2.0,2.0,-31.6933,-31.20078,-32.67941,9.204666,-31.20074,-62.48511,-11.28437,11.0
3,1674.55,1480.34,2.0,4.0,-31.1868,-31.15088,-30.63273,20.80166,-31.15084,-61.97861,-10.82777,11.0
4,1672.55,1480.4,2.0,6.0,-32.0746,-32.00699,-32.70449,18.04127,-32.00695,-62.86641,-10.85946,11.0
5,1670.55,1480.47,2.0,8.0,-32.8254,-32.00738,-34.73577,6.834521,-32.00734,-63.61722,-11.60988,11.0
6,1668.55,1480.51,2.0,10.0,-33.8356,-31.33488,-27.69784,1.086906,-31.33484,-64.62741,-13.29257,11.0
7,1666.55,1480.45,2.0,12.0,-34.2451,-31.905,-28.6226,1.462939,-31.90496,-65.03691,-13.13195,11.0
8,1664.57,1480.2,2.0,14.0,-33.3278,-32.0538,-39.72513,4.673414,-32.05375,-64.11961,-12.06586,11.0
9,1662.65,1479.64,2.0,16.0,-33.4152,-29.65805,-35.34336,-1.383947,-29.65803,-64.20701,-14.54898,8.0
10,1660.93,1478.64,2.0,18.0,-38.0749,-35.55917,-32.5258,1.052558,-35.55907,-68.86672,-13.30764,11.0
11,1659.58,1477.18,2.0,20.0,-57.3403,-54.33334,-58.49184,-0.008160848,-54.32592,-88.13211,-13.80619,11.0
12,1661.13,1477.6,2.0,22.0,-56.6996,-53.25244,-53.3048,-0.8443366,-53.24665,-87.49141,-14.24477,12.0
13,1662.95,1478.42,2.0,24.0,-49.7961,-47.3759,-48.27592,1.269687,-47.37441,-80.58791,-13.21351,19.0
14,1664.89,1478.86,2.0,26.0,-41.2947,-39.92488,-44.15246,4.307335,-39.92462,-72.08651,-12.1619,11.0
15,1666.47,1477.88,2.0,28.0,-39.4407,-37.76848,-33.76992,3.28148,-37.76831,-70.23251,-12.4642,11.0
16,1666.58,1475.91,2.0,30.0,-40.8107,-37.97532,-35.28456,0.3568272,-37.97515,-71.60251,-13.62736,19.0
17,1666.16,1473.95,2.0,32.0,-40.6769,-37.60692,-41.89154,-0.1188601,-37.60676,-71.46871,-13.86195,19.0
18,1665.54,1472.05,2.0,34.0,-42.4691,-39.16738,-40.26853,-0.5649417,-39.16715,-73.26091,-14.09376,11.0
19,1664.8,1470.19,2.0,36.0,-39.5982,-37.528,-35.57448,2.141176,-37.52785,-70.39002,-12.86217,11.0
20,1664.0,1468.36,2.0,38.0,-39.7489,-36.97348,-61.86994,0.4829044,-36.97335,-70.54071,-13.56737,11.0
21,1663.15,1466.55,2.0,40.0,-40.4044,-39.10834,-36.41083,4.586587,-39.10812,-71.19621,-12.0881,19.0
22,1662.27,1464.76,2.0,42.0,-39.6468,-38.30412,-39.2607,4.408786,-38.30393,-70.43861,-12.13468,19.0
23,1661.35,1462.98,2.0,44.0,-44.5938,-41.60871,-41.41443,0.04975792,-41.60831,-75.38561,-13.7773,19.0
24,1660.41,1461.21,2.0,46.0,-34.4751,-34.13849,-32.57799,10.93621,-34.13842,-65.26692,-11.12849,19.0
25,1659.46,1459.46,2.0,48.0,-35.4897,-34.974,-34.17239,8.992667,-34.97391,-66.28151,-11.3076,19.0
