# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1538.24,1033.36,2.0,0.0,-36.5965,-36.17744,-34.87527,9.942689,-36.17733,-67.38831,-11.21098,8.0
2,1539.7,1034.72,2.0,2.0,-36.9972,-36.66756,-35.12769,11.02984,-36.66743,-67.78901,-11.12158,8.0
3,1541.28,1035.95,2.0,4.0,-39.1225,-38.75445,-37.54783,10.5309,-38.75424,-69.91431,-11.16007,8.0
4,1542.95,1037.05,2.0,6.0,-39.3803,-38.99716,-38.86007,10.34878,-38.99695,-70.17211,-11.17516,8.0
5,1544.66,1038.08,2.0,8.0,-40.2104,-39.38727,-43.57797,6.803716,-39.38703,-71.00221,-11.61518,8.0
6,1546.38,1039.1,2.0,10.0,-38.568,-37.30274,-40.86644,4.707497,-37.3026,-69.35981,-12.05722,8.0
7,1548.08,1040.16,2.0,12.0,-38.4378,-38.29384,-37.06844,14.7177,-38.29366,-69.22961,-10.93595,8.0
8,1549.71,1041.32,2.0,14.0,-41.6473,-41.10563,-40.49901,8.763865,-41.10528,-72.43911,-11.33383,8.0
9,1551.24,1042.61,2.0,16.0,-40.5307,-40.22226,-43.27405,11.32677,-40.22197,-71.32251,-11.10054,8.0
10,1552.64,1044.03,2.0,18.0,-36.4329,-36.24917,-35.08091,13.64097,-36.24905,-67.22471,-10.97566,8.0
11,1553.92,1045.57,2.0,20.0,-35.3764,-35.24961,-34.23895,15.28009,-35.24951,-66.16821,-10.9187,8.0
12,1555.07,1047.2,2.0,22.0,-36.4991,-35.99428,-33.5262,9.09067,-35.99418,-67.29091,-11.29674,8.0
13,1556.1,1048.91,2.0,24.0,-33.126,-32.70026,-31.49068,9.871272,-32.70021,-63.91781,-11.2176,8.0
14,1557.03,1050.68,2.0,26.0,-36.9553,-36.84999,-36.94757,16.09492,-36.84986,-67.74711,-10.89725,8.0
15,1557.88,1052.5,2.0,28.0,-35.0956,-34.6129,-36.95736,9.29672,-34.61282,-65.88741,-11.27459,8.0
16,1558.65,1054.34,2.0,30.0,-34.821,-34.59083,-35.8061,12.64025,-34.59075,-65.61281,-11.02206,8.0
17,1559.36,1056.21,2.0,32.0,-39.0754,-38.15187,-47.85796,6.252416,-38.15169,-69.86722,-11.71553,11.0
18,1560.04,1058.09,2.0,34.0,-33.5799,-32.47507,-29.51746,5.380584,-32.47503,-64.37171,-11.89668,8.0
19,1560.69,1059.98,2.0,36.0,-31.6087,-30.83064,-29.10682,7.072645,-30.8306,-62.40051,-11.56991,8.0
20,1561.32,1061.88,2.0,38.0,-34.1478,-32.57286,-30.95276,3.5938,-32.57281,-64.93961,-12.3668,8.0
21,1561.92,1063.78,2.0,40.0,-32.1945,-30.89478,-31.45533,4.573147,-30.89474,-62.98631,-12.09157,8.0
22,1562.52,1065.7,2.0,42.0,-32.0147,-30.22279,-35.40816,2.917853,-30.22276,-62.80652,-12.58376,8.0
23,1563.09,1067.61,2.0,44.0,-32.6895,-29.88094,-44.49439,0.4132552,-29.88091,-63.48131,-13.6004,8.0
24,1563.65,1069.53,2.0,46.0,-31.5223,-29.13764,-30.51376,1.356778,-29.13762,-62.31412,-13.17649,8.0
25,1564.2,1071.45,2.0,48.0,-32.5093,-30.51943,-28.86728,2.35667,-30.5194,-63.30111,-12.78171,11.0
26,1564.74,1073.38,2.0,50.0,-32.4307,-31.30631,-30.1685,5.294192,-31.30627,-63.22251,-11.91624,11.0
