# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1955.96,2045.73,2.0,0.0,-25.213,-25.18959,-25.90178,22.67159,-25.18959,-56.00481,-10.81523,12.0
2,1955.86,2043.73,2.0,2.0,-25.48,-25.46042,-25.73328,23.45088,-25.46042,-56.27181,-10.81139,12.0
3,1955.76,2041.74,2.0,4.0,-26.118,-26.10156,-25.69937,24.20897,-26.10156,-56.90981,-10.80826,12.0
4,1955.66,2039.74,2.0,6.0,-30.4202,-30.38455,-29.99112,20.8399,-30.38455,-61.21201,-10.82746,12.0
5,1955.57,2037.74,2.0,8.0,-32.4785,-32.41573,-33.20048,18.36906,-32.41573,-63.27031,-10.85458,12.0
6,1955.47,2035.74,2.0,10.0,-33.7535,-33.67156,-34.62908,17.20202,-33.67156,-64.54531,-10.87375,12.0
7,1955.37,2033.75,2.0,12.0,-33.475,-33.46975,-33.60773,29.17247,-33.46975,-64.26681,-10.79706,12.0
8,1955.28,2031.75,2.0,14.0,-28.7091,-28.70713,-28.60491,33.42507,-28.70713,-59.50091,-10.79379,12.0
9,1955.18,2029.75,2.0,16.0,-38.7876,-38.77183,-39.28877,24.38899,-38.77182,-69.57942,-10.80759,12.0
10,1955.08,2027.76,2.0,18.0,-29.8005,-29.80033,-29.77839,43.93576,-29.80033,-60.59231,-10.79199,12.0
11,1954.99,2025.76,2.0,20.0,-35.2367,-35.23542,-35.27373,35.30254,-35.23542,-66.02851,-10.79309,12.0
12,1954.89,2023.76,2.0,22.0,-32.4801,-32.47823,-32.43682,33.6554,-32.47823,-63.27191,-10.79368,12.0
13,1954.8,2021.76,2.0,24.0,-33.9096,-33.90912,-33.98369,39.56844,-33.90912,-64.70141,-10.79229,12.0
14,1954.7,2019.77,2.0,26.0,-34.3479,-34.34675,-34.27252,35.75615,-34.34675,-65.13971,-10.79297,12.0
15,1954.61,2017.77,2.0,28.0,-33.2161,-33.21501,-33.19214,36.01044,-33.21501,-64.00791,-10.7929,12.0
16,1954.51,2015.77,2.0,30.0,-36.4069,-36.40532,-36.31312,34.38921,-36.40532,-67.19871,-10.79339,12.0
17,1954.41,2013.78,2.0,32.0,-34.5355,-34.44133,-35.65981,16.59149,-34.44133,-65.32731,-10.88598,12.0
18,1954.32,2011.78,2.0,34.0,-35.3366,-35.20597,-36.54488,15.15172,-35.20596,-66.12841,-10.92245,12.0
19,1954.22,2009.78,2.0,36.0,-38.2847,-37.70914,-35.61225,8.48593,-37.70913,-69.07651,-11.36738,12.0
20,1954.13,2007.78,2.0,38.0,-37.4011,-36.90027,-36.16429,9.128054,-36.90026,-68.19291,-11.29265,12.0
21,1954.03,2005.79,2.0,40.0,-35.1358,-34.8174,-34.39146,11.18787,-34.81739,-65.92761,-11.11022,12.0
22,1953.94,2003.79,2.0,42.0,-36.5317,-36.08298,-33.88726,9.631739,-36.08298,-67.32351,-11.24054,12.0
23,1953.84,2001.79,2.0,44.0,-43.6668,-41.503,-41.59717,1.898926,-41.50299,-74.45861,-12.95562,12.0
24,1953.74,1999.79,2.0,46.0,-35.7079,-35.39698,-33.04485,11.29483,-35.39697,-66.49972,-11.10274,12.0
25,1953.64,1997.8,2.0,48.0,-46.0612,-43.64873,-48.055,1.291258,-43.64872,-76.85301,-13.2043,12.0
26,1953.55,1995.8,2.0,50.0,-34.4561,-34.32661,-34.23672,15.19042,-34.32661,-65.24791,-10.92131,12.0
27,1953.45,1993.8,2.0,52.0,-35.5078,-35.16654,-35.32092,10.87521,-35.16654,-66.29962,-11.13307,12.0
28,1953.35,1991.81,2.0,54.0,-52.1219,-49.82215,-49.3388,1.560392,-49.82209,-82.91371,-13.09162,12.0
29,1953.25,1989.81,2.0,56.0,-39.2993,-38.79258,-36.14432,9.074312,-38.79258,-70.09111,-11.29854,12.0
30,1953.15,1987.81,2.0,58.0,-34.0928,-33.82257,-32.58457,11.92474,-33.82257,-64.88461,-11.06204,12.0
31,1953.05,1985.81,2.0,60.0,-35.0587,-35.02542,-35.48932,21.13972,-35.02542,-65.85051,-10.82509,12.0
32,1952.95,1983.82,2.0,62.0,-44.2316,-43.06698,-49.8265,5.120605,-43.06696,-75.02341,-11.95645,12.0
33,1952.85,1981.82,2.0,64.0,-37.8431,-37.7665,-37.89483,17.49669,-37.76649,-68.63492,-10.86842,12.0
34,1952.75,1979.82,2.0,66.0,-44.332,-44.0049,-46.30614,11.0662,-44.00488,-75.12381,-11.11893,12.0
35,1952.64,1977.83,2.0,68.0,-38.7799,-38.77477,-38.58143,29.27502,-38.77477,-69.57171,-10.79694,12.0
36,1952.54,1975.83,2.0,70.0,-42.2791,-42.27419,-42.33259,29.45669,-42.27418,-73.07091,-10.79673,12.0
37,1952.43,1973.83,2.0,72.0,-38.5276,-38.51817,-39.02762,26.62593,-38.51816,-69.31941,-10.80125,12.0
38,1952.32,1971.84,2.0,74.0,-34.5752,-34.56608,-34.03686,26.7713,-34.56608,-65.36701,-10.80094,12.0
39,1952.21,1969.84,2.0,76.0,-37.2887,-37.2771,-37.60995,25.7246,-37.27709,-68.08051,-10.80342,12.0
40,1952.1,1967.84,2.0,78.0,-43.39,-43.31525,-42.78951,17.60341,-43.31523,-74.18181,-10.86658,12.0
41,1951.99,1965.85,2.0,80.0,-36.5279,-36.52238,-36.7161,28.94946,-36.52237,-67.31971,-10.79734,12.0
42,1951.87,1963.85,2.0,82.0,-34.9387,-34.93467,-35.14887,30.31991,-34.93467,-65.73052,-10.79585,12.0
43,1951.75,1961.85,2.0,84.0,-34.4508,-34.4484,-34.43311,32.55827,-34.44839,-65.24262,-10.79422,12.0
44,1951.64,1959.86,2.0,86.0,-44.236,-44.22008,-43.98407,24.34515,-44.22006,-75.02781,-10.80775,12.0
45,1951.53,1957.86,2.0,88.0,-44.9465,-44.52777,-49.16422,9.947238,-44.52775,-75.73831,-11.21056,12.0
46,1951.41,1955.87,2.0,90.0,-31.0652,-31.04846,-30.67344,24.13117,-31.04846,-61.85701,-10.80856,12.0
47,1951.3,1953.87,2.0,92.0,-33.2479,-33.20752,-32.61745,20.29562,-33.20752,-64.03971,-10.8322,12.0
48,1951.18,1951.87,2.0,94.0,-33.2521,-33.21644,-33.05576,20.83759,-33.21644,-64.04391,-10.82748,12.0
49,1951.06,1949.88,2.0,96.0,-29.421,-29.40758,-29.36228,25.09458,-29.40758,-60.21281,-10.80523,12.0
50,1950.94,1947.88,2.0,98.0,-41.8841,-41.50057,-38.68512,10.3465,-41.50056,-72.67592,-11.17536,12.0
51,1950.82,1945.88,2.0,100.0,-30.6011,-30.56961,-30.66027,21.38028,-30.56961,-61.39291,-10.8233,12.0
52,1950.69,1943.89,2.0,102.0,-30.1305,-30.10667,-30.11121,22.59355,-30.10666,-60.92231,-10.81565,12.0
53,1950.56,1941.89,2.0,104.0,-35.1467,-35.03935,-37.08405,16.01598,-35.03935,-65.93852,-10.89916,12.0
54,1950.43,1939.9,2.0,106.0,-32.5767,-32.52796,-32.46457,19.47441,-32.52796,-63.36851,-10.84055,12.0
55,1950.28,1937.9,2.0,108.0,-30.0909,-30.08521,-29.99952,28.82454,-30.08521,-60.88271,-10.7975,12.0
56,1950.13,1935.91,2.0,110.0,-34.7371,-34.72041,-34.38277,24.14446,-34.72041,-65.52891,-10.8085,12.0
57,1949.97,1933.92,2.0,112.0,-29.9201,-29.91038,-30.40033,26.49504,-29.91038,-60.71191,-10.80154,12.0
58,1949.79,1931.92,2.0,114.0,-33.1082,-33.094,-33.44267,24.84706,-33.094,-63.90001,-10.80602,12.0
59,1949.6,1929.93,2.0,116.0,-32.3331,-32.31919,-32.49694,24.93646,-32.31918,-63.12491,-10.80573,12.0
60,1949.39,1927.94,2.0,118.0,-27.7192,-27.7181,-27.74176,35.93451,-27.71809,-58.51101,-10.79292,12.0
61,1949.16,1925.96,2.0,120.0,-30.9203,-30.91886,-30.89608,34.78593,-30.91886,-61.71211,-10.79325,12.0
62,1948.91,1923.97,2.0,122.0,-27.8158,-27.81447,-27.68612,35.15318,-27.81447,-58.60761,-10.79314,12.0
63,1948.67,1921.99,2.0,124.0,-34.2763,-34.27492,-34.24431,34.97024,-34.27492,-65.06811,-10.7932,12.0
64,1948.48,1920.0,2.0,126.0,-29.1247,-29.12248,-29.08907,32.91785,-29.12248,-59.91651,-10.79403,12.0
