# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1678.54,1480.56,2.0,0.0,-27.6831,-27.14575,-25.77008,8.803775,-27.14574,-58.47491,-11.32917,11.0
2,1676.55,1480.37,2.0,2.0,-25.862,-25.22887,-25.19752,8.042493,-25.22887,-56.65381,-11.42494,11.0
3,1674.55,1480.34,2.0,4.0,-26.7734,-25.96413,-23.54029,6.885994,-25.96413,-57.56521,-11.60108,11.0
4,1672.55,1480.4,2.0,6.0,-26.4996,-25.90068,-24.52933,8.301235,-25.90068,-57.29141,-11.39073,11.0
5,1670.55,1480.47,2.0,8.0,-28.3793,-28.23789,-27.98694,14.80212,-28.23789,-59.17111,-10.93322,11.0
6,1668.55,1480.51,2.0,10.0,-27.3469,-25.09363,-21.41165,1.674474,-25.09363,-58.13871,-13.04508,11.0
7,1666.55,1480.45,2.0,12.0,-27.3164,-26.64479,-24.59956,7.766546,-26.64479,-58.10821,-11.46342,11.0
8,1664.57,1480.2,2.0,14.0,-27.2617,-26.04311,-35.3002,4.895727,-26.04311,-58.05351,-12.0104,11.0
9,1662.65,1479.64,2.0,16.0,-24.7602,-21.28997,-28.49372,-0.8757724,-21.28997,-55.55201,-14.26204,8.0
10,1660.93,1478.64,2.0,18.0,-25.7386,-22.80192,-21.81572,0.1485097,-22.80192,-56.53041,-13.72849,11.0
11,1659.58,1477.18,2.0,20.0,-26.0065,-23.81405,-19.85268,1.826311,-23.81405,-56.79831,-12.98426,8.0
12,1661.13,1477.6,2.0,22.0,-26.8821,-23.21074,-21.91548,-1.234668,-23.21074,-57.67391,-14.46318,11.0
13,1662.95,1478.42,2.0,24.0,-25.6788,-22.12475,-22.44985,-1.026939,-22.12475,-56.47061,-14.34587,11.0
14,1664.89,1478.86,2.0,26.0,-25.8934,-22.70368,-31.60296,-0.351721,-22.70368,-56.68521,-13.98153,11.0
15,1666.47,1477.88,2.0,28.0,-25.65,-23.75092,-40.53826,2.60833,-23.75092,-56.44181,-12.69089,8.0
16,1666.58,1475.91,2.0,30.0,-26.1055,-23.69436,-24.00511,1.294424,-23.69436,-56.89731,-13.20295,11.0
17,1666.16,1473.95,2.0,32.0,-25.9629,-23.55729,-30.07083,1.307408,-23.55729,-56.75471,-13.19742,8.0
18,1665.54,1472.05,2.0,34.0,-30.1847,-27.35499,-29.05069,0.3690124,-27.35499,-60.97651,-13.62152,8.0
19,1664.8,1470.19,2.0,36.0,-34.6823,-30.82418,-27.73354,-1.556869,-30.82417,-65.47412,-14.64994,19.0
20,1664.0,1468.36,2.0,38.0,-30.6023,-26.91311,-26.47358,-1.265874,-26.91311,-61.39412,-14.48101,19.0
21,1663.15,1466.55,2.0,40.0,-31.5092,-29.40358,-49.0222,2.048775,-29.40358,-62.30101,-12.89743,20.0
22,1662.27,1464.76,2.0,42.0,-29.4893,-27.95147,-25.43963,3.717175,-27.95147,-60.28111,-12.32964,19.0
23,1661.35,1462.98,2.0,44.0,-28.9133,-27.61048,-33.865,4.561337,-27.61048,-59.70511,-12.09463,19.0
24,1660.41,1461.21,2.0,46.0,-27.5259,-26.86201,-26.76448,7.820725,-26.86201,-58.31771,-11.4557,19.0
25,1659.46,1459.46,2.0,48.0,-30.7261,-29.99417,-36.06923,7.362054,-29.99417,-61.51791,-11.52374,19.0
26,1658.48,1457.71,2.0,50.0,-27.7248,-27.43003,-26.37409,11.53472,-27.43003,-58.51661,-11.08659,19.0
27,1657.49,1455.98,2.0,52.0,-29.5401,-29.07981,-26.63688,9.515342,-29.07981,-60.33191,-11.2521,19.0
28,1656.49,1454.25,2.0,54.0,-35.3256,-34.28303,-35.7154,5.665091,-34.28303,-66.11741,-11.83438,19.0
29,1655.48,1452.52,2.0,56.0,-28.145,-27.84287,-29.00915,11.42402,-27.84287,-58.93681,-11.09394,19.0
30,1654.46,1450.8,2.0,58.0,-25.8353,-25.63431,-26.86495,13.24528,-25.63431,-56.62711,-10.9928,19.0
31,1653.43,1449.09,2.0,60.0,-28.4661,-27.95156,-25.88142,9.003852,-27.95156,-59.25791,-11.30635,19.0
