# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1955.96,2045.73,2.0,0.0,-25.213,-25.18959,-25.90178,22.66994,-25.18958,-56.00481,-10.81523,12.0
2,1955.86,2043.73,2.0,2.0,-25.48,-25.46042,-25.73328,23.44879,-25.46041,-56.27181,-10.8114,12.0
3,1955.76,2041.74,2.0,4.0,-26.118,-26.10156,-25.69937,24.2061,-26.10155,-56.90981,-10.80827,12.0
4,1955.66,2039.74,2.0,6.0,-30.4202,-30.38455,-29.99112,20.83633,-30.38452,-61.21201,-10.82749,12.0
5,1955.57,2037.74,2.0,8.0,-32.4785,-32.41573,-33.20048,18.36581,-32.41569,-63.27031,-10.85463,12.0
6,1955.47,2035.74,2.0,10.0,-33.7535,-33.67156,-34.62908,17.19869,-33.6715,-64.54531,-10.87381,12.0
7,1955.37,2033.75,2.0,12.0,-33.475,-33.46975,-33.60773,29.1236,-33.46969,-64.26681,-10.79712,12.0
8,1955.28,2031.75,2.0,14.0,-28.7091,-28.70713,-28.60491,33.38162,-28.70711,-59.50091,-10.79381,12.0
9,1955.18,2029.75,2.0,16.0,-38.7876,-38.77183,-39.28877,24.33384,-38.77162,-69.57942,-10.80779,12.0
10,1955.08,2027.76,2.0,18.0,-29.8005,-29.80033,-29.77839,43.34621,-29.8003,-60.59231,-10.79201,12.0
11,1954.99,2025.76,2.0,20.0,-35.2367,-35.23542,-35.27373,35.01017,-35.23533,-66.02851,-10.79318,12.0
12,1954.89,2023.76,2.0,22.0,-32.4801,-32.47823,-32.43682,33.54705,-32.47818,-63.27191,-10.79373,12.0
13,1954.8,2021.76,2.0,24.0,-33.9096,-33.90912,-33.98369,39.01082,-33.90905,-64.70141,-10.79236,12.0
14,1954.7,2019.77,2.0,26.0,-34.3479,-34.34675,-34.27252,35.49083,-34.34668,-65.13971,-10.79304,12.0
15,1954.61,2017.77,2.0,28.0,-33.2161,-33.21501,-33.19214,35.79246,-33.21496,-64.00791,-10.79296,12.0
16,1954.51,2015.77,2.0,30.0,-36.4069,-36.40532,-36.31312,34.07965,-36.4052,-67.19871,-10.79351,12.0
17,1954.41,2013.78,2.0,32.0,-34.5355,-34.44133,-35.65981,16.58803,-34.44125,-65.32731,-10.88606,12.0
18,1954.32,2011.78,2.0,34.0,-35.3366,-35.20597,-36.54488,15.14874,-35.20587,-66.12841,-10.92254,12.0
19,1954.22,2009.78,2.0,36.0,-38.2847,-37.70914,-35.61225,8.48466,-37.70897,-69.07651,-11.36754,12.0
20,1954.13,2007.78,2.0,38.0,-37.4011,-36.90027,-36.16429,9.126852,-36.90013,-68.19291,-11.29278,12.0
21,1954.03,2005.79,2.0,40.0,-35.1358,-34.8174,-34.39146,11.18672,-34.81731,-65.92761,-11.1103,12.0
22,1953.94,2003.79,2.0,42.0,-36.5317,-36.08298,-33.88726,9.630634,-36.08287,-67.32351,-11.24065,12.0
23,1953.84,2001.79,2.0,44.0,-43.6668,-41.503,-41.59717,1.897963,-41.50262,-74.45861,-12.956,12.0
24,1953.74,1999.79,2.0,46.0,-35.7079,-35.39698,-33.04485,11.29349,-35.39688,-66.49972,-11.10283,12.0
25,1953.64,1997.8,2.0,48.0,-46.0612,-43.64873,-48.055,1.289806,-43.6481,-76.85301,-13.20492,12.0
26,1953.55,1995.8,2.0,50.0,-34.4561,-34.32661,-34.23672,15.18796,-34.32653,-65.24791,-10.92138,12.0
27,1953.45,1993.8,2.0,52.0,-35.5078,-35.16654,-35.32092,10.87405,-35.16645,-66.29962,-11.13316,12.0
28,1953.35,1991.81,2.0,54.0,-52.1219,-49.82215,-49.3388,1.55416,-49.81952,-82.91371,-13.09419,12.0
29,1953.25,1989.81,2.0,56.0,-39.2993,-38.79258,-36.14432,9.072476,-38.79238,-70.09111,-11.29874,12.0
30,1953.15,1987.81,2.0,58.0,-34.0928,-33.82257,-32.58457,11.92367,-33.82251,-64.88461,-11.0621,12.0
31,1953.05,1985.81,2.0,60.0,-35.0587,-35.02542,-35.48932,21.1286,-35.02534,-65.85051,-10.82517,12.0
32,1952.95,1983.82,2.0,62.0,-44.2316,-43.06698,-49.8265,5.118304,-43.06642,-75.02341,-11.95699,12.0
33,1952.85,1981.82,2.0,64.0,-37.8431,-37.7665,-37.89483,17.48756,-37.76633,-68.63492,-10.86858,12.0
34,1952.75,1979.82,2.0,66.0,-44.332,-44.0049,-46.30614,11.05695,-44.00421,-75.12381,-11.1196,12.0
35,1952.64,1977.83,2.0,68.0,-38.7799,-38.77477,-38.58143,29.1076,-38.77457,-69.57171,-10.79714,12.0
36,1952.54,1975.83,2.0,70.0,-42.2791,-42.27419,-42.33259,29.07554,-42.27373,-73.07091,-10.79718,12.0
37,1952.43,1973.83,2.0,72.0,-38.5276,-38.51817,-39.02762,26.53929,-38.51797,-69.31941,-10.80144,12.0
38,1952.32,1971.84,2.0,74.0,-34.5752,-34.56608,-34.03686,26.73503,-34.566,-65.36701,-10.80101,12.0
39,1952.21,1969.84,2.0,76.0,-37.2887,-37.2771,-37.60995,25.67147,-37.27695,-68.08051,-10.80356,12.0
40,1952.1,1967.84,2.0,78.0,-43.39,-43.31525,-42.78951,17.56996,-43.31466,-74.18181,-10.86715,12.0
41,1951.99,1965.85,2.0,80.0,-36.5279,-36.52238,-36.7161,28.85618,-36.52225,-67.31971,-10.79746,12.0
42,1951.87,1963.85,2.0,82.0,-34.9387,-34.93467,-35.14887,30.23117,-34.93459,-65.73052,-10.79593,12.0
43,1951.75,1961.85,2.0,84.0,-34.4508,-34.4484,-34.43311,32.42614,-34.44832,-65.24262,-10.7943,12.0
44,1951.64,1959.86,2.0,86.0,-44.236,-44.22008,-43.98407,24.15663,-44.21936,-75.02781,-10.80846,12.0
45,1951.53,1957.86,2.0,88.0,-44.9465,-44.52777,-49.16422,9.939003,-44.52699,-75.73831,-11.21132,12.0
46,1951.41,1955.87,2.0,90.0,-31.0652,-31.04846,-30.67344,24.12234,-31.04842,-61.85701,-10.80859,12.0
47,1951.3,1953.87,2.0,92.0,-33.2479,-33.20752,-32.61745,20.28958,-33.20746,-64.03971,-10.83225,12.0
48,1951.18,1951.87,2.0,94.0,-33.2521,-33.21644,-33.05576,20.83075,-33.21638,-64.04391,-10.82753,12.0
49,1951.06,1949.88,2.0,96.0,-29.421,-29.40758,-29.36228,25.08703,-29.40756,-60.21281,-10.80525,12.0
50,1950.94,1947.88,2.0,98.0,-41.8841,-41.50057,-38.68512,10.34204,-41.50018,-72.67592,-11.17573,12.0
51,1950.82,1945.88,2.0,100.0,-30.6011,-30.56961,-30.66027,21.37607,-30.56958,-61.39291,-10.82333,12.0
52,1950.69,1943.89,2.0,102.0,-30.1305,-30.10667,-30.11121,22.58855,-30.10664,-60.92231,-10.81568,12.0
53,1950.56,1941.89,2.0,104.0,-35.1467,-35.03935,-37.08405,16.01249,-35.03927,-65.93852,-10.89925,12.0
54,1950.43,1939.9,2.0,106.0,-32.5767,-32.52796,-32.46457,19.47013,-32.52791,-63.36851,-10.8406,12.0
55,1950.28,1937.9,2.0,108.0,-30.0909,-30.08521,-29.99952,28.80378,-30.08518,-60.88271,-10.79753,12.0
56,1950.13,1935.91,2.0,110.0,-34.7371,-34.72041,-34.38277,24.12386,-34.72033,-65.52891,-10.80858,12.0
57,1949.97,1933.92,2.0,112.0,-29.9201,-29.91038,-30.40033,26.48336,-29.91035,-60.71191,-10.80156,12.0
58,1949.79,1931.92,2.0,114.0,-33.1082,-33.094,-33.44267,24.83041,-33.09394,-63.90001,-10.80607,12.0
59,1949.6,1929.93,2.0,116.0,-32.3331,-32.31919,-32.49694,24.92224,-32.31914,-63.12491,-10.80577,12.0
60,1949.39,1927.94,2.0,118.0,-27.7192,-27.7181,-27.74176,35.873,-27.71808,-58.51101,-10.79294,12.0
61,1949.16,1925.96,2.0,120.0,-30.9203,-30.91886,-30.89608,34.68766,-30.91882,-61.71211,-10.79329,12.0
