# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1362.82,1184.55,2.0,0.0,-9.82302,-7.585543,-17.64516,1.713594,-7.585542,-40.61483,-13.02929,11.0
2,1361.37,1185.94,2.0,2.0,-9.133649,-6.99824,-4.173832,1.971667,-6.998241,-39.92546,-12.92722,11.0
3,1359.93,1187.32,2.0,4.0,-10.4883,-7.705902,-6.018932,0.4684286,-7.705903,-41.28011,-13.57421,11.0
4,1358.48,1188.69,2.0,6.0,-9.509349,-7.019936,-16.61223,1.112872,-7.019935,-40.30116,-13.28123,11.0
5,1357.04,1190.07,2.0,8.0,-9.379029,-6.82102,-3.719107,0.9572201,-6.821021,-40.17084,-13.34982,11.0
6,1355.59,1191.45,2.0,10.0,-9.517751,-6.746192,-4.828176,0.4913739,-6.746193,-40.30956,-13.56337,11.0
7,1354.14,1192.83,2.0,12.0,-9.02015,-6.474591,-18.5984,0.9852404,-6.47459,-39.81196,-13.33737,11.0
8,1352.69,1194.2,2.0,14.0,-9.86062,-6.788307,-3.388596,-0.1231548,-6.788306,-40.65243,-13.86413,8.0
9,1351.24,1195.58,2.0,16.0,-8.72072,-5.968471,-4.128859,0.5324095,-5.968471,-39.51253,-13.54406,11.0
10,1349.79,1196.95,2.0,18.0,-9.92739,-6.717657,-14.61707,-0.3901078,-6.717657,-40.7192,-14.00155,11.0
11,1348.34,1198.33,2.0,20.0,-9.70783,-6.759361,-5.546677,0.1245552,-6.759361,-40.49964,-13.74028,8.0
12,1346.89,1199.7,2.0,22.0,-9.411769,-6.428327,-6.252736,0.05388287,-6.428327,-40.20358,-13.77525,11.0
13,1345.44,1201.07,2.0,24.0,-9.747949,-7.033975,-14.84504,0.6143621,-7.033975,-40.53976,-13.50579,8.0
14,1343.98,1202.44,2.0,26.0,-9.978809,-6.889638,-6.018901,-0.1563367,-6.889638,-40.77062,-13.88098,11.0
15,1342.53,1203.81,2.0,28.0,-10.2911,-7.294982,-7.286136,0.0284114,-7.294981,-41.08291,-13.78793,8.0
16,1341.07,1205.18,2.0,30.0,-10.022,-7.093742,-17.99983,0.1656604,-7.093743,-40.81381,-13.72007,8.0
17,1339.62,1206.55,2.0,32.0,-10.1435,-7.473383,-4.426923,0.7092947,-7.473383,-40.93531,-13.46193,8.0
18,1338.17,1207.92,2.0,34.0,-9.85589,-7.692751,-8.750327,1.900629,-7.692751,-40.6477,-12.95495,8.0
19,1336.71,1209.29,2.0,36.0,-10.0844,-7.986303,-11.58954,2.068386,-7.986302,-40.87621,-12.88991,8.0
20,1335.25,1210.66,2.0,38.0,-10.565,-8.564862,-5.240179,2.328862,-8.564862,-41.35681,-12.79195,8.0
21,1333.8,1212.02,2.0,40.0,-10.4667,-8.434858,-13.48854,2.243486,-8.434857,-41.25851,-12.82366,8.0
22,1332.34,1213.39,2.0,42.0,-9.927211,-8.108044,-6.671872,2.837829,-8.108044,-40.71902,-12.61098,8.0
23,1330.88,1214.76,2.0,44.0,-10.9879,-9.40845,-6.585469,3.579145,-9.408449,-41.77971,-12.37126,8.0
24,1329.42,1216.12,2.0,46.0,-10.518,-9.138981,-16.19477,4.274408,-9.138981,-41.30981,-12.17083,8.0
25,1327.96,1217.49,2.0,48.0,-10.3889,-9.174522,-5.061682,4.91298,-9.174522,-41.18071,-12.00619,8.0
26,1326.5,1218.85,2.0,50.0,-11.4941,-10.45991,-16.66962,5.704489,-10.45991,-42.28591,-11.826,8.0
27,1325.05,1220.22,2.0,52.0,-11.4431,-10.5103,-7.886543,6.205225,-10.5103,-42.23491,-11.72461,8.0
28,1323.59,1221.58,2.0,54.0,-11.8342,-10.78496,-10.47465,5.633904,-10.78496,-42.62601,-11.84106,8.0
29,1322.13,1222.94,2.0,56.0,-12.8693,-11.92209,-13.14273,6.131142,-11.92209,-43.66111,-11.73903,8.0
30,1320.66,1224.3,2.0,58.0,-12.5899,-11.71834,-10.2791,6.531826,-11.71834,-43.38171,-11.66337,8.0
31,1319.2,1225.67,2.0,60.0,-13.5895,-12.12977,-16.30228,3.984806,-12.12977,-44.38131,-12.25155,8.0
32,1317.74,1227.03,2.0,62.0,-13.3722,-11.92479,-11.443,4.028135,-11.92479,-44.16401,-12.23922,8.0
