# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1955.96,2045.73,2.0,0.0,-13.5678,-13.56742,-13.45552,40.60979,-13.56742,-44.35961,-10.79219,12.0
2,1955.86,2043.73,2.0,2.0,-13.542,-13.54149,-13.45412,39.28299,-13.54149,-44.33381,-10.79232,12.0
3,1955.76,2041.74,2.0,4.0,-14.4985,-14.49792,-14.47136,38.73852,-14.49792,-45.29031,-10.79239,12.0
4,1955.66,2039.74,2.0,6.0,-17.7189,-17.71839,-17.61159,39.27967,-17.71839,-48.51071,-10.79233,12.0
5,1955.57,2037.74,2.0,8.0,-19.9974,-19.9963,-20.00778,35.95137,-19.9963,-50.78921,-10.79292,12.0
6,1955.47,2035.74,2.0,10.0,-19.5194,-19.51821,-19.40627,35.61993,-19.51821,-50.31121,-10.793,12.0
7,1955.37,2033.75,2.0,12.0,-19.3781,-19.37772,-19.41618,40.56717,-19.37772,-50.16991,-10.79219,12.0
8,1955.28,2031.75,2.0,14.0,-17.6002,-17.59965,-17.6147,38.9789,-17.59965,-48.39201,-10.79236,12.0
9,1955.18,2029.75,2.0,16.0,-23.2983,-23.2974,-23.31006,36.80256,-23.2974,-54.09011,-10.79272,12.0
10,1955.08,2027.76,2.0,18.0,-21.9815,-21.98119,-21.99666,41.34514,-21.98118,-52.77331,-10.79213,12.0
11,1954.99,2025.76,2.0,20.0,-18.2184,-18.21806,-18.09743,41.06109,-18.21806,-49.01021,-10.79215,12.0
12,1954.89,2023.76,2.0,22.0,-17.4267,-17.42657,-17.48994,45.02092,-17.42656,-48.21851,-10.79195,12.0
13,1954.8,2021.76,2.0,24.0,-19.1112,-19.11091,-19.04408,41.78026,-19.11091,-49.90301,-10.7921,12.0
14,1954.7,2019.77,2.0,26.0,-22.2105,-22.20989,-22.35306,38.49157,-22.20989,-53.00232,-10.79243,12.0
15,1954.61,2017.77,2.0,28.0,-21.0069,-21.00662,-20.9345,41.9412,-21.00662,-51.79871,-10.79209,12.0
16,1954.51,2015.77,2.0,30.0,-18.6012,-18.60066,-18.69302,39.04779,-18.60066,-49.39301,-10.79235,12.0
17,1954.41,2013.78,2.0,32.0,-18.9915,-18.98059,-18.60635,25.99254,-18.98058,-49.78331,-10.80273,12.0
18,1954.32,2011.78,2.0,34.0,-20.8538,-20.83915,-21.33378,24.71128,-20.83915,-51.64561,-10.80647,12.0
19,1954.22,2009.78,2.0,36.0,-20.6473,-20.63353,-20.11441,24.97958,-20.63353,-51.43911,-10.80559,12.0
20,1954.13,2007.78,2.0,38.0,-20.6357,-20.62163,-21.10418,24.88752,-20.62163,-51.42751,-10.80588,12.0
21,1954.03,2005.79,2.0,40.0,-20.6047,-20.58635,-20.54547,23.73062,-20.58634,-51.39651,-10.81017,12.0
22,1953.94,2003.79,2.0,42.0,-20.9974,-20.97805,-20.65881,23.50022,-20.97805,-51.78921,-10.81117,12.0
23,1953.84,2001.79,2.0,44.0,-21.9791,-21.93238,-22.47654,19.65928,-21.93238,-52.77091,-10.83853,12.0
24,1953.74,1999.79,2.0,46.0,-21.4535,-21.40831,-21.73323,19.80446,-21.40831,-52.24531,-10.83701,12.0
25,1953.64,1997.8,2.0,48.0,-20.2076,-20.17596,-19.81332,21.35888,-20.17596,-50.99941,-10.82346,12.0
26,1953.55,1995.8,2.0,50.0,-19.6229,-19.59396,-19.20867,21.74789,-19.59395,-50.41471,-10.82076,12.0
27,1953.45,1993.8,2.0,52.0,-20.3709,-20.34224,-21.25915,21.79044,-20.34224,-51.16271,-10.82047,12.0
28,1953.35,1991.81,2.0,54.0,-22.1214,-22.08694,-21.81149,20.98735,-22.08694,-52.91321,-10.82627,12.0
29,1953.25,1989.81,2.0,56.0,-21.5511,-21.47578,-22.01623,17.5708,-21.47578,-52.34291,-10.86714,12.0
30,1953.15,1987.81,2.0,58.0,-19.1692,-19.12678,-18.74317,20.08003,-19.12677,-49.96101,-10.83424,12.0
31,1953.05,1985.81,2.0,60.0,-19.4414,-19.42,-18.7806,23.06211,-19.42,-50.23321,-10.81322,12.0
32,1952.95,1983.82,2.0,62.0,-22.0165,-22.01253,-22.27073,30.37815,-22.01252,-52.80831,-10.79579,12.0
33,1952.85,1981.82,2.0,64.0,-19.8117,-19.79808,-19.88073,25.02857,-19.79808,-50.60351,-10.80543,12.0
34,1952.75,1979.82,2.0,66.0,-20.4624,-20.44469,-19.96106,23.88611,-20.44469,-51.25421,-10.80953,12.0
35,1952.64,1977.83,2.0,68.0,-19.6131,-19.613,-19.59688,46.26487,-19.613,-50.40491,-10.79192,12.0
36,1952.54,1975.83,2.0,70.0,-20.4652,-20.46466,-20.48906,39.04063,-20.46466,-51.25701,-10.79235,12.0
37,1952.43,1973.83,2.0,72.0,-20.8035,-20.80284,-20.76317,38.17737,-20.80284,-51.59531,-10.79247,12.0
38,1952.32,1971.84,2.0,74.0,-20.105,-20.10444,-20.02742,38.84905,-20.10443,-50.89681,-10.79238,12.0
39,1952.21,1969.84,2.0,76.0,-21.0451,-21.0446,-21.04533,39.37799,-21.0446,-51.83691,-10.79231,12.0
40,1952.1,1967.84,2.0,78.0,-23.0934,-23.09205,-22.91738,35.06582,-23.09205,-53.88521,-10.79316,12.0
41,1951.99,1965.85,2.0,80.0,-20.1782,-20.17757,-20.17765,38.36719,-20.17757,-50.97001,-10.79244,12.0
42,1951.87,1963.85,2.0,82.0,-21.1985,-21.19703,-21.38186,34.68063,-21.19702,-51.99031,-10.79329,12.0
43,1951.75,1961.85,2.0,84.0,-21.628,-21.62778,-21.60827,42.87714,-21.62777,-52.41981,-10.79204,12.0
44,1951.64,1959.86,2.0,86.0,-21.2086,-21.20781,-21.32769,37.36422,-21.2078,-52.00041,-10.79261,12.0
45,1951.53,1957.86,2.0,88.0,-21.1596,-21.15847,-21.24207,35.8403,-21.15847,-51.95141,-10.79294,12.0
46,1951.41,1955.87,2.0,90.0,-20.3124,-20.31066,-20.26615,33.96434,-20.31066,-51.10421,-10.79356,12.0
47,1951.3,1953.87,2.0,92.0,-20.7415,-20.74059,-20.80839,36.77693,-20.74059,-51.53331,-10.79272,12.0
48,1951.18,1951.87,2.0,94.0,-20.226,-20.22298,-20.09123,31.57101,-20.22298,-51.01781,-10.79484,12.0
49,1951.06,1949.88,2.0,96.0,-21.0011,-20.99929,-20.95828,33.79775,-20.99929,-51.79291,-10.79362,12.0
50,1950.94,1947.88,2.0,98.0,-20.5546,-20.5539,-20.37609,37.92223,-20.5539,-51.34641,-10.79251,12.0
51,1950.82,1945.88,2.0,100.0,-22.2559,-22.25029,-22.73962,28.88088,-22.25028,-53.04771,-10.79743,12.0
52,1950.69,1943.89,2.0,102.0,-22.2549,-22.24396,-22.48593,25.98017,-22.24396,-53.04671,-10.80276,12.0
53,1950.56,1941.89,2.0,104.0,-21.0114,-21.0084,-20.97987,31.60041,-21.0084,-51.80321,-10.79482,12.0
54,1950.43,1939.9,2.0,106.0,-22.1534,-22.14645,-22.20636,27.95123,-22.14645,-52.94521,-10.79877,12.0
55,1950.28,1937.9,2.0,108.0,-20.7731,-20.76089,-21.06514,25.50169,-20.76088,-51.56491,-10.80403,12.0
56,1950.13,1935.91,2.0,110.0,-20.7733,-20.75865,-21.31635,24.71026,-20.75864,-51.56511,-10.80647,12.0
57,1949.97,1933.92,2.0,112.0,-21.6884,-21.6786,-22.21153,26.45733,-21.67859,-52.48021,-10.80162,12.0
58,1949.79,1931.92,2.0,114.0,-20.3367,-20.31845,-20.101,23.75489,-20.31844,-51.12851,-10.81007,12.0
59,1949.6,1929.93,2.0,116.0,-20.1386,-20.12502,-20.47749,25.04195,-20.12502,-50.93041,-10.80539,12.0
