# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1538.24,1033.36,2.0,0.0,-22.3244,-21.33618,-19.52384,5.925835,-21.33618,-53.11621,-11.78003,8.0
2,1539.7,1034.72,2.0,2.0,-23.2355,-22.40607,-21.60814,6.768694,-22.40607,-54.02731,-11.62125,8.0
3,1541.28,1035.95,2.0,4.0,-29.9992,-27.74276,-27.43776,1.666618,-27.74275,-60.79101,-13.04826,8.0
4,1542.95,1037.05,2.0,6.0,-27.7802,-26.1102,-22.72978,3.288909,-26.11019,-58.57201,-12.46183,8.0
5,1544.66,1038.08,2.0,8.0,-21.8585,-21.56479,-19.91236,11.55089,-21.56479,-52.65031,-11.08553,8.0
6,1546.38,1039.1,2.0,10.0,-25.5021,-22.69135,-26.83856,0.4086919,-22.69134,-56.29391,-13.60257,11.0
7,1548.08,1040.16,2.0,12.0,-31.1114,-29.66449,-27.40136,4.029816,-29.66447,-61.90321,-12.23875,8.0
8,1549.71,1041.32,2.0,14.0,-26.007,-24.12957,-27.76442,2.669715,-24.12956,-56.79881,-12.66925,8.0
9,1551.24,1042.61,2.0,16.0,-27.3199,-27.07089,-26.90502,12.29039,-27.07088,-58.11171,-11.04083,8.0
10,1552.64,1044.03,2.0,18.0,-26.0608,-25.4822,-26.13763,8.461459,-25.48219,-56.85261,-11.37042,8.0
11,1553.92,1045.57,2.0,20.0,-29.5617,-27.43336,-25.27107,1.989849,-27.43335,-60.35351,-12.92017,8.0
12,1555.07,1047.2,2.0,22.0,-33.3483,-29.82222,-29.3264,-0.9768094,-29.82219,-64.14012,-14.31792,8.0
13,1556.1,1048.91,2.0,24.0,-24.1611,-23.56838,-22.99269,8.34955,-23.56837,-54.95291,-11.38454,8.0
14,1557.03,1050.68,2.0,26.0,-27.7295,-27.11524,-24.67933,8.183429,-27.11522,-58.52131,-11.40609,8.0
15,1557.88,1052.5,2.0,28.0,-25.9507,-25.29352,-23.82195,7.868225,-25.29351,-56.74251,-11.449,8.0
16,1558.65,1054.34,2.0,30.0,-26.4354,-26.11786,-24.96899,11.20004,-26.11785,-57.22721,-11.10936,8.0
17,1559.36,1056.21,2.0,32.0,-29.4627,-27.66488,-26.87775,2.900458,-27.66486,-60.25451,-12.58965,8.0
18,1560.04,1058.09,2.0,34.0,-26.2135,-25.54664,-23.571,7.799745,-25.54663,-57.00531,-11.45868,8.0
19,1560.69,1059.98,2.0,36.0,-21.6684,-21.40561,-19.5339,12.04968,-21.40561,-52.46021,-11.0546,8.0
20,1561.32,1061.88,2.0,38.0,-25.6774,-24.9454,-26.01238,7.361519,-24.94539,-56.46921,-11.52382,8.0
21,1561.92,1063.78,2.0,40.0,-24.1746,-23.45205,-26.20042,7.422832,-23.45204,-54.96641,-11.51437,8.0
22,1562.52,1065.7,2.0,42.0,-24.1931,-23.6658,-26.54944,8.890928,-23.6658,-54.98491,-11.31912,8.0
23,1563.09,1067.61,2.0,44.0,-25.2613,-24.00139,-28.02593,4.729275,-24.00139,-56.05311,-12.05172,8.0
24,1563.65,1069.53,2.0,46.0,-24.6807,-23.81753,-23.6977,6.578094,-23.81752,-55.47251,-11.65499,8.0
25,1564.2,1071.45,2.0,48.0,-28.518,-26.70646,-23.25483,2.860125,-26.70645,-59.30981,-12.60336,8.0
26,1564.74,1073.38,2.0,50.0,-32.3108,-31.38377,-34.25815,6.234932,-31.38373,-63.10261,-11.71888,11.0
27,1565.27,1075.31,2.0,52.0,-29.6185,-28.95979,-26.67657,7.857208,-28.95977,-60.41031,-11.45055,11.0
28,1565.78,1077.24,2.0,54.0,-33.3396,-29.91162,-27.03594,-0.7987424,-29.91159,-64.13141,-14.21982,11.0
29,1566.29,1079.17,2.0,56.0,-33.311,-30.24247,-36.84235,-0.1157416,-30.24244,-64.10281,-13.86037,8.0
30,1566.79,1081.11,2.0,58.0,-34.8566,-32.7075,-36.84516,1.936371,-32.70745,-65.64841,-12.94096,11.0
31,1567.28,1083.05,2.0,60.0,-35.273,-33.20542,-48.54143,2.148346,-33.20536,-66.06481,-12.85945,11.0
32,1567.76,1084.99,2.0,62.0,-38.2752,-34.86407,-40.44417,-0.7679304,-34.86398,-69.06701,-14.20303,11.0
33,1568.23,1086.93,2.0,64.0,-38.5543,-33.44163,-28.82254,-3.512998,-33.44157,-69.34611,-15.90454,19.0
34,1568.69,1088.88,2.0,66.0,-37.9392,-34.06626,-39.39655,-1.582114,-34.06619,-68.73101,-14.66482,20.0
35,1569.15,1090.83,2.0,68.0,-39.7995,-35.88188,-39.09984,-1.657637,-35.88177,-70.59131,-14.70954,19.0
36,1569.59,1092.78,2.0,70.0,-38.747,-36.27235,-37.43233,1.146507,-36.27223,-69.53881,-13.26658,19.0
37,1570.03,1094.73,2.0,72.0,-40.2902,-38.96859,-44.89414,4.488431,-38.96837,-71.08201,-12.11364,11.0
38,1570.46,1096.68,2.0,74.0,-43.7195,-41.87692,-45.29916,2.768544,-41.8765,-74.51131,-12.63481,19.0
39,1570.88,1098.63,2.0,76.0,-40.2458,-39.18883,-38.21799,5.596984,-39.18861,-71.03761,-11.84901,19.0
40,1571.29,1100.59,2.0,78.0,-45.096,-42.78515,-47.73508,1.532319,-42.78463,-75.88781,-13.10319,19.0
41,1571.69,1102.55,2.0,80.0,-43.9387,-40.40054,-39.56457,-0.9989996,-40.40024,-74.73052,-14.33027,8.0
42,1572.07,1104.51,2.0,82.0,-44.4758,-42.36187,-42.96871,2.025974,-42.3614,-75.26761,-12.90621,19.0
43,1572.45,1106.47,2.0,84.0,-42.3513,-40.1452,-36.89566,1.791247,-40.14492,-73.14311,-12.99819,8.0
44,1572.82,1108.44,2.0,86.0,-40.7687,-40.59257,-39.7368,13.82337,-40.59226,-71.56051,-10.96825,19.0
45,1573.18,1110.41,2.0,88.0,-44.1482,-42.09704,-42.3972,2.190781,-42.09659,-74.94001,-12.84342,19.0
46,1573.52,1112.38,2.0,90.0,-44.8039,-41.09698,-44.17613,-1.2974,-41.09663,-75.59571,-14.49908,19.0
47,1573.84,1114.35,2.0,92.0,-41.3187,-39.77825,-35.74843,3.707536,-39.77799,-72.11051,-12.33252,8.0
48,1574.15,1116.33,2.0,94.0,-49.5454,-45.3475,-41.08861,-2.120714,-45.34656,-80.33721,-14.99065,11.0
49,1574.44,1118.31,2.0,96.0,-50.6729,-47.49995,-45.33994,-0.3224061,-47.49841,-81.46472,-13.96631,8.0
50,1574.71,1120.29,2.0,98.0,-54.5769,-52.23225,-47.28087,1.441156,-52.22767,-85.36871,-13.14104,8.0
51,1574.96,1122.27,2.0,100.0,-45.1599,-42.5066,-39.66508,0.744921,-42.50611,-75.95172,-13.4456,8.0
52,1575.17,1124.26,2.0,102.0,-42.2122,-41.4833,-41.92251,7.379146,-41.48292,-73.00401,-11.52109,19.0
53,1575.35,1126.25,2.0,104.0,-42.3718,-41.42169,-39.9397,6.114478,-41.42131,-73.16361,-11.7423,8.0
54,1575.5,1128.25,2.0,106.0,-47.3531,-44.86193,-45.90377,1.106931,-44.8611,-78.14491,-13.28382,11.0
55,1575.63,1130.24,2.0,108.0,-43.1493,-41.36064,-38.45067,2.926466,-41.36026,-73.94111,-12.58085,8.0
