# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
1,1678.54,1480.56,2.0,0.0,-27.6831,-27.14575,-25.77008,8.803657,-27.14573,-58.47491,-11.32918,11.0
2,1676.55,1480.37,2.0,2.0,-25.862,-25.22887,-25.19752,8.042427,-25.22886,-56.65381,-11.42495,11.0
3,1674.55,1480.34,2.0,4.0,-26.7734,-25.96413,-23.54029,6.885932,-25.96412,-57.56521,-11.60109,11.0
4,1672.55,1480.4,2.0,6.0,-26.4996,-25.90068,-24.52933,8.301155,-25.90067,-57.29141,-11.39075,11.0
5,1670.55,1480.47,2.0,8.0,-28.3793,-28.23789,-27.98694,14.80156,-28.23787,-59.17111,-10.93324,11.0
6,1668.55,1480.51,2.0,10.0,-27.3469,-25.09363,-21.41165,1.674453,-25.09362,-58.13871,-13.04509,11.0
7,1666.55,1480.45,2.0,12.0,-27.3164,-26.64479,-24.59956,7.76646,-26.64478,-58.10821,-11.46343,11.0
8,1664.57,1480.2,2.0,14.0,-27.2617,-26.04311,-35.3002,4.895683,-26.0431,-58.05351,-12.01041,11.0
9,1662.65,1479.64,2.0,16.0,-24.7602,-21.28997,-28.49372,-0.8757789,-21.28997,-55.55201,-14.26204,8.0
10,1660.93,1478.64,2.0,18.0,-25.7386,-22.80192,-21.81572,0.1484994,-22.80192,-56.53041,-13.7285,11.0
11,1659.58,1477.18,2.0,20.0,-26.0065,-23.81405,-19.85268,1.826294,-23.81405,-56.79831,-12.98427,8.0
12,1661.13,1477.6,2.0,22.0,-26.8821,-23.21074,-21.91548,-1.234678,-23.21073,-57.67391,-14.46318,11.0
13,1662.95,1478.42,2.0,24.0,-25.6788,-22.12475,-22.44985,-1.026947,-22.12474,-56.47061,-14.34587,11.0
14,1664.89,1478.86,2.0,26.0,-25.8934,-22.70368,-31.60296,-0.3517305,-22.70368,-56.68521,-13.98154,11.0
15,1666.47,1477.88,2.0,28.0,-25.65,-23.75092,-40.53826,2.608312,-23.75092,-56.44181,-12.6909,8.0
16,1666.58,1475.91,2.0,30.0,-26.1055,-23.69436,-24.00511,1.29441,-23.69436,-56.89731,-13.20296,11.0
17,1666.16,1473.95,2.0,32.0,-25.9629,-23.55729,-30.07083,1.307394,-23.55728,-56.75471,-13.19743,8.0
18,1665.54,1472.05,2.0,34.0,-30.1847,-27.35499,-29.05069,0.368982,-27.35497,-60.97651,-13.62154,8.0
19,1664.8,1470.19,2.0,36.0,-34.6823,-30.82418,-27.73354,-1.556924,-30.82414,-65.47412,-14.64997,19.0
20,1664.0,1468.36,2.0,38.0,-30.6023,-26.91311,-26.47358,-1.265897,-26.91309,-61.39412,-14.48102,19.0
21,1663.15,1466.55,2.0,40.0,-31.5092,-29.40358,-49.0222,2.048715,-29.40355,-62.30101,-12.89746,20.0
22,1662.27,1464.76,2.0,42.0,-29.4893,-27.95147,-25.43963,3.71712,-27.95145,-60.28111,-12.32966,19.0
23,1661.35,1462.98,2.0,44.0,-28.9133,-27.61048,-33.865,4.561277,-27.61047,-59.70511,-12.09464,19.0
24,1660.41,1461.21,2.0,46.0,-27.5259,-26.86201,-26.76448,7.820633,-26.862,-58.31771,-11.45571,19.0
25,1659.46,1459.46,2.0,48.0,-30.7261,-29.99417,-36.06923,7.361883,-29.99414,-61.51791,-11.52377,19.0
26,1658.48,1457.71,2.0,50.0,-27.7248,-27.43003,-26.37409,11.53449,-27.43001,-58.51661,-11.0866,19.0
27,1657.49,1455.98,2.0,52.0,-29.5401,-29.07981,-26.63688,9.515127,-29.07979,-60.33191,-11.25212,19.0
28,1656.49,1454.25,2.0,54.0,-35.3256,-34.28303,-35.7154,5.664755,-34.28296,-66.11741,-11.83445,19.0
29,1655.48,1452.52,2.0,56.0,-28.145,-27.84287,-29.00915,11.42378,-27.84286,-58.93681,-11.09395,19.0
30,1654.46,1450.8,2.0,58.0,-25.8353,-25.63431,-26.86495,13.24506,-25.6343,-56.62711,-10.99281,19.0
31,1653.43,1449.09,2.0,60.0,-28.4661,-27.95156,-25.88142,9.003703,-27.95154,-59.25791,-11.30637,19.0
32,1652.4,1447.38,2.0,62.0,-25.3513,-24.93854,-25.08672,10.01278,-24.93853,-56.14311,-11.20458,19.0
33,1651.36,1445.67,2.0,64.0,-24.2907,-23.75307,-22.30471,8.801353,-23.75306,-55.08251,-11.32945,19.0
34,1650.33,1443.96,2.0,66.0,-29.6521,-26.54091,-33.13818,-0.1995058,-26.5409,-60.44391,-13.90301,8.0
35,1649.29,1442.25,2.0,68.0,-25.4114,-22.91709,-35.09861,1.101653,-22.91709,-56.20321,-13.28612,8.0
36,1648.24,1440.55,2.0,70.0,-24.3301,-21.10193,-30.28535,-0.4253431,-21.10192,-55.12191,-14.01999,11.0
37,1647.2,1438.84,2.0,72.0,-26.9948,-22.41441,-17.24648,-2.72083,-22.41441,-57.78661,-15.3722,19.0
38,1646.15,1437.14,2.0,74.0,-25.0393,-22.29974,-19.47355,0.5594842,-22.29974,-55.83111,-13.53137,11.0
39,1645.1,1435.44,2.0,76.0,-27.7198,-24.84037,-32.99829,0.2657873,-24.84036,-58.51162,-13.67125,11.0
40,1644.05,1433.74,2.0,78.0,-26.9957,-23.9923,-21.1838,0.0137877,-23.99229,-57.78751,-13.79522,11.0
41,1643.0,1432.04,2.0,80.0,-29.7659,-27.70536,-24.9672,2.167061,-27.70534,-60.55771,-12.85237,11.0
42,1641.94,1430.34,2.0,82.0,-16.0649,-15.79815,-14.96689,11.98263,-15.79815,-46.85671,-11.05857,19.0
43,1640.89,1428.64,2.0,84.0,-16.0751,-15.70725,-14.9499,10.53593,-15.70725,-46.86691,-11.15966,19.0
44,1639.83,1426.95,2.0,86.0,-17.9191,-17.39773,-20.107,8.943083,-17.39773,-48.71091,-11.31318,19.0
45,1638.78,1425.25,2.0,88.0,-19.2939,-18.75981,-21.36687,8.831904,-18.75981,-50.08571,-11.3259,19.0
